# phase uptime_s ibat_uA vbat_uV capacity
# P0-start nothing-held ak7375=suspended cam_af=disabled cam_io=disabled
P0 36813 -165100 4291940 100
P0 36823 -156097 4292719 100
P0 36833 -54473 4313934 100
P0 36844 -109710 4304008 100
P0 36854 -104370 4303035 100
P0 36864 -123443 4293692 100
P0 36874 -63171 4307901 100
P0 36884 -94909 4298947 100
P0 36894 -54779 4307317 100
P0 36904 -165710 4283376 100
P0 36914 -54931 4304787 100
P0 36924 -79956 4299531 100
P0 36934 -75531 4305954 100
P0 36944 -54321 4304008 100
P0 36954 -54779 4303813 100
P0 36964 -67749 4300310 100
P0 36974 -107574 4281430 100
P0 36984 -107574 4294081 100
P0 36994 -79650 4299142 100
P0 37004 -157775 4272088 100
P0 37014 -54321 4299337 100
P0 37024 -54321 4300699 100
P0 37034 -73242 4287658 100
P0 37044 -132293 4275980 100
P0 37054 -58746 4295055 100
P0 37064 -55236 4298558 100
P0 37074 -54321 4296028 100
P0 37084 -56304 4296223 100
P0 37094 -81024 4291162 100
P0 37104 -124359 4277927 100
P0 37114 -79956 4290383 100
P0 37124 -53710 4295833 100
P0 37134 -133667 4285517 100
P0 37144 -84075 4286101 100
P0 37154 -121460 4279873 100
P0 37164 -61187 4289410 100
P0 37174 -99334 4286296 100
P0 37184 -53405 4292524 100
P0 37194 -122985 4274423 100
P0 37204 -56762 4285907 100
P0 37215 -100402 4275591 100
P0 37225 -54779 4291746 100
P0 37235 -54473 4290189 100
P0 37245 -66223 4290773 100
P0 37255 -56457 4286491 100
P0 37265 -71258 4289410 100
P0 37275 -238037 4266832 100
P0 37285 -132293 4267416 100
P0 37295 -125274 4276564 100
P0 37305 -68664 4282987 100
P0 37315 -79650 4282014 100
P0 37325 -101471 4282987 100
P0 37335 -80719 4281235 100
P0 37345 -134582 4269363 100
P0 37355 -54321 4284739 100
P0 37365 -103149 4278121 100
P0 37375 -140838 4262161 100
P0 37385 -123291 4258463 100
P0 37395 -216369 4262550 100
P0 37405 -55542 4285517 100
P0 37415 -53710 4283766 100
P0 37425 -62103 4280068 100
P0 37435 -131073 4269168 100
P0 37445 -54168 4283960 100
P0 37455 -59967 4275980 100
P0 37465 -83465 4279289 100
P0 37475 -73547 4271309 100
P0 37485 -54168 4275786 100
P0 37495 -67596 4274034 99
P0 37505 -55236 4277148 99
P0 37515 -83770 4268000 99
P0 37525 -106811 4262940 99
# P0-end ak7375=suspended cam_af=disabled cam_io=disabled
# P1-start lens-subdev-only ak7375=active cam_af=enabled cam_io=enabled
P1 37566 -210113 4231992 99
P1 37576 -138855 4240556 99
P1 37586 -133361 4240751 99
P1 37596 -136871 4237442 99
P1 37606 -149841 4238026 99
P1 37616 -138855 4236274 99
P1 37626 -179290 4215837 99
P1 37636 -133056 4234717 99
P1 37646 -163269 4226542 99
P1 37656 -133056 4234328 99
P1 37666 -184173 4217589 99
P1 37676 -153503 4230046 99
P1 37686 -133667 4230824 99
P1 37696 -209045 4211555 99
P1 37706 -167541 4224207 99
P1 37716 -181427 4218368 99
P1 37726 -133056 4227710 99
P1 37736 -154571 4220703 99
P1 37746 -149383 4221093 99
P1 37756 -136413 4226348 99
P1 37766 -187225 4207079 99
P1 37776 -132904 4223623 99
P1 37786 -158386 4220703 99
P1 37797 -151367 4218173 99
P1 37807 -133209 4221871 99
P1 37817 -133514 4221482 99
P1 37827 -172119 4207079 99
P1 37837 -163574 4217005 99
P1 37847 -137939 4219536 99
P1 37857 -133361 4219925 99
P1 37867 -210113 4193260 99
P1 37877 -160064 4213307 99
P1 37887 -140838 4215643 99
P1 37897 -184478 4208830 99
P1 37907 -153656 4211555 99
P1 37917 -158538 4212334 99
P1 37927 -134124 4214864 99
P1 37937 -185699 4198320 99
P1 37947 -134277 4214280 99
P1 37957 -133667 4209998 99
P1 37967 -208435 4195984 99
P1 37977 -134887 4212334 99
P1 37987 -227203 4193065 99
P1 37997 -160217 4209220 99
P1 38007 -158996 4204548 99
P1 38017 -166931 4199488 99
P1 38027 -134887 4209025 99
P1 38037 -209655 4194817 99
P1 38047 -160827 4205522 99
P1 38057 -158691 4205132 99
P1 38067 -133361 4209414 99
P1 38077 -140075 4204354 99
P1 38087 -162963 4205522 99
P1 38097 -144653 4208052 99
P1 38107 -175476 4191313 99
P1 38117 -133972 4207079 99
P1 38127 -145721 4206300 99
P1 38137 -148925 4203770 99
P1 38147 -133972 4203186 99
P1 38157 -133209 4205911 99
P1 38167 -158996 4194038 99
P1 38178 -172119 4196763 99
P1 38188 -185241 4194817 99
P1 38198 -138092 4202991 98
P1 38208 -159607 4197736 98
P1 38218 -139923 4201629 98
P1 38228 -137176 4202018 98
P1 38238 -182342 4200266 98
P1 38248 -220031 4178467 98
P1 38258 -133667 4200072 98
P1 38268 -184784 4180803 98
P1 38278 -134277 4201045 98
# P1-end ak7375=active cam_af=enabled cam_io=enabled
# P2-start chain-without-lens ak7375=suspended cam_af=disabled cam_io=disabled
P2 38318 -121765 4214864 98
P2 38328 -60730 4230630 98
P2 38338 -80261 4222260 98
P2 38348 -79345 4221871 98
P2 38358 -55236 4237831 98
P2 38368 -54779 4237442 98
P2 38378 -55847 4237831 98
P2 38389 -55236 4236080 98
P2 38399 -79040 4231798 98
P2 38409 -96130 4234717 98
P2 38419 -133361 4217005 98
P2 38429 -162353 4212723 98
P2 38439 -64239 4238415 98
P2 38449 -89569 4230435 98
P2 38459 -54321 4239194 98
P2 38469 -122833 4221677 98
P2 38479 -56610 4237442 98
P2 38489 -134124 4215059 98
P2 38499 -84991 4231603 98
P2 38509 -70190 4238026 98
P2 38519 -67901 4237637 98
P2 38529 -54931 4239194 98
P2 38539 -55236 4238999 98
P2 38549 -54321 4239972 98
P2 38559 -105590 4224985 98
P2 38569 -80566 4233355 98
P2 38579 -61950 4234912 98
P2 38589 -73700 4230435 98
P2 38599 -119628 4224791 98
P2 38609 -54626 4238999 98
P2 38619 -74462 4234912 98
P2 38629 -54779 4236858 98
P2 38639 -77972 4233939 98
P2 38649 -73394 4232576 98
P2 38659 -114441 4218757 98
P2 38669 -80261 4237053 98
P2 38679 -155181 4221482 98
P2 38689 -55084 4238610 98
P2 38699 -101471 4218368 98
P2 38709 -80566 4231408 98
P2 38719 -116882 4221677 98
P2 38729 -140991 4213696 98
P2 38739 -55236 4235301 98
P2 38749 -54626 4236664 98
P2 38759 -72174 4232187 98
P2 38770 -83923 4230241 98
P2 38780 -81939 4231408 98
P2 38790 -57678 4233160 98
P2 38800 -55084 4233939 98
P2 38810 -54321 4235106 98
P2 38820 -84686 4231408 98
P2 38830 -125885 4215448 98
P2 38840 -84075 4230046 98
P2 38850 -81634 4229851 98
P2 38860 -54168 4226737 98
P2 38870 -54321 4232382 98
P2 38880 -54473 4233744 98
P2 38890 -102386 4227126 98
P2 38900 -105590 4215837 98
P2 38910 -128326 4218757 98
P2 38920 -54168 4235106 98
P2 38930 -58593 4221677 98
P2 38940 -54473 4233160 98
P2 38950 -74920 4222455 98
P2 38960 -79803 4228489 98
P2 38970 -113830 4215059 98
P2 38980 -55389 4233744 98
P2 38990 -115966 4222844 98
P2 39000 -65612 4228489 98
P2 39010 -104675 4223623 98
P2 39020 -54168 4233744 98
P2 39030 -110473 4219730 98
# P2-end ak7375=suspended cam_af=disabled cam_io=disabled
# done
