# iso_time uptime_s capacity status charge_type vbat_uV ibat_uA temp_dC usb_online usb_imax_uA usb_vbus_uV usb_real_type charge_done chgr_status_reg
2026-08-11T20:39:43Z 550 100 Full N/A 4398017 0 315 0 500000 5005536 USB 1 45
2026-08-11T20:40:44Z 610 100 Discharging N/A 4310236 -219421 318 0 0 5184 Unknown 0 47
2026-08-11T20:41:44Z 670 100 Discharging N/A 4359284 -97045 315 0 0 3104 Unknown 0 47
2026-08-11T20:42:44Z 731 100 Discharging N/A 4369989 -52337 312 0 0 3104 Unknown 0 47
2026-08-11T20:43:45Z 791 100 Discharging N/A 4344297 -108947 310 0 0 2064 Unknown 0 47
2026-08-11T20:44:45Z 851 100 Discharging N/A 4345076 -109100 308 0 0 4144 Unknown 0 47
2026-08-11T20:45:45Z 912 100 Discharging N/A 4370573 -53558 307 0 0 1024 Unknown 0 47
2026-08-11T20:46:46Z 972 100 Discharging N/A 4348579 -129547 305 0 0 3104 Unknown 0 47
2026-08-11T20:47:46Z 1032 100 Discharging N/A 4370379 -62103 304 0 0 3104 Unknown 0 47
2026-08-11T20:48:46Z 1093 100 Discharging N/A 4352667 -147247 302 0 0 1024 Unknown 0 47
2026-08-11T20:49:47Z 1153 100 Discharging N/A 4355781 -65460 301 0 0 1024 Unknown 0 47
2026-08-11T20:50:47Z 1213 100 Discharging N/A 4328337 -126648 299 0 0 1024 Unknown 0 47
2026-08-11T20:51:47Z 1274 100 Discharging N/A 4337680 -22277 298 0 0 2064 Unknown 0 47
2026-08-11T20:52:47Z 1334 100 Discharging N/A 4340210 -52185 297 0 0 5184 Unknown 0 47
2026-08-11T20:53:48Z 1394 100 Discharging N/A 4370963 -45013 295 0 0 3104 Unknown 0 47
2026-08-11T20:54:48Z 1455 100 Discharging N/A 4335733 -43334 294 0 0 4144 Unknown 0 47
2026-08-11T20:55:48Z 1515 100 Discharging N/A 4349942 -153198 293 0 0 2064 Unknown 0 47
2026-08-11T20:56:49Z 1575 100 Discharging N/A 4368432 -54168 292 0 0 4144 Unknown 0 47
2026-08-11T20:57:49Z 1635 100 Discharging N/A 4346828 -30822 291 0 0 3104 Unknown 0 47
2026-08-11T20:58:49Z 1696 100 Discharging N/A 4361231 -64239 290 0 0 1024 Unknown 0 47
2026-08-11T20:59:50Z 1756 100 Discharging N/A 4325028 -62866 290 0 0 0 Unknown 0 47
2026-08-11T21:00:50Z 1816 100 Discharging N/A 4334565 -143432 288 0 0 4144 Unknown 0 47
2026-08-11T21:01:50Z 1877 100 Discharging N/A 4342156 -44708 288 0 0 5184 Unknown 0 47
2026-08-11T21:02:50Z 1937 100 Discharging N/A 4334176 -188141 287 0 0 2064 Unknown 0 47
2026-08-11T21:03:51Z 1997 100 Discharging N/A 4361425 -51116 286 0 0 3104 Unknown 0 47
2026-08-11T21:04:51Z 2057 100 Discharging N/A 4360841 -46691 285 0 0 5184 Unknown 0 47
2026-08-11T21:05:51Z 2118 100 Discharging N/A 4336123 -144806 284 0 0 3104 Unknown 0 47
2026-08-11T21:06:52Z 2178 100 Discharging N/A 4322303 -134887 284 0 0 5184 Unknown 0 47
2026-08-11T21:07:52Z 2238 100 Discharging N/A 4346049 -102081 283 0 0 5184 Unknown 0 47
2026-08-11T21:08:52Z 2299 100 Discharging N/A 4337680 -42419 282 0 0 4144 Unknown 0 47
2026-08-11T21:09:52Z 2359 100 Discharging N/A 4339626 -106353 282 0 0 1024 Unknown 0 47
2026-08-11T21:10:53Z 2419 100 Discharging N/A 4332814 -116272 281 0 0 3104 Unknown 0 47
2026-08-11T21:11:53Z 2479 100 Discharging N/A 4349942 -91400 281 0 0 4144 Unknown 0 47
2026-08-11T21:12:53Z 2540 100 Discharging N/A 4346828 -85296 280 0 0 4144 Unknown 0 47
2026-08-11T21:13:54Z 2600 100 Discharging N/A 4351694 -56915 280 0 0 1024 Unknown 0 47
2026-08-11T21:14:54Z 2660 100 Discharging N/A 4335344 -61798 280 0 0 3104 Unknown 0 47
2026-08-11T21:15:54Z 2721 100 Discharging N/A 4341378 -110321 279 0 0 2064 Unknown 0 47
2026-08-11T21:16:54Z 2781 100 Discharging N/A 4351304 -90332 279 0 0 3104 Unknown 0 47
2026-08-11T21:17:55Z 2841 100 Discharging N/A 4347022 -46539 278 0 0 1024 Unknown 0 47
2026-08-11T21:18:55Z 2902 100 Discharging N/A 4320162 -154419 278 0 0 3104 Unknown 0 47
2026-08-11T21:19:55Z 2962 100 Discharging N/A 4329310 -104675 277 0 0 1024 Unknown 0 47
2026-08-11T21:20:56Z 3022 100 Discharging N/A 4329116 -102386 276 0 0 4144 Unknown 0 47
2026-08-11T21:21:56Z 3082 100 Discharging N/A 4317632 -155487 276 0 0 0 Unknown 0 47
2026-08-11T21:22:56Z 3143 100 Discharging N/A 4353251 -64086 276 0 0 3104 Unknown 0 47
2026-08-11T21:23:57Z 3203 100 Discharging N/A 4325612 -61187 275 0 0 4144 Unknown 0 47
2026-08-11T21:24:57Z 3263 100 Discharging N/A 4352667 -55389 275 0 0 2064 Unknown 0 47
2026-08-11T21:25:57Z 3324 100 Discharging N/A 4310431 -41809 275 0 0 2064 Unknown 0 47
2026-08-11T21:26:58Z 3384 100 Discharging N/A 4347995 -74157 274 0 0 2064 Unknown 0 47
2026-08-11T21:27:58Z 3445 100 Discharging N/A 4350136 -61798 274 0 0 2064 Unknown 0 47
2026-08-11T21:28:58Z 3505 100 Discharging N/A 4307511 -63629 274 0 0 2064 Unknown 0 47
2026-08-11T21:29:59Z 3565 100 Discharging N/A 4332424 -86364 273 0 0 4144 Unknown 0 47
2026-08-11T21:30:59Z 3625 100 Discharging N/A 4354418 -49896 273 0 0 1024 Unknown 0 47
2026-08-11T21:31:59Z 3686 100 Discharging N/A 4292329 -22277 273 0 0 1024 Unknown 0 47
2026-08-11T21:32:59Z 3746 100 Discharging N/A 4349358 -65460 273 0 0 1024 Unknown 0 47
2026-08-11T21:34:00Z 3806 100 Discharging N/A 4318216 -66528 273 0 0 1024 Unknown 0 47
2026-08-11T21:35:00Z 3866 100 Discharging N/A 4349163 -37384 272 0 0 3104 Unknown 0 47
2026-08-11T21:36:00Z 3927 100 Discharging N/A 4335928 -97045 272 0 0 1024 Unknown 0 47
2026-08-11T21:37:00Z 3987 100 Discharging N/A 4347022 -54626 272 0 0 4144 Unknown 0 47
2026-08-11T21:38:01Z 4047 100 Discharging N/A 4350915 -61645 272 0 0 5184 Unknown 0 47
2026-08-11T21:39:01Z 4108 100 Discharging N/A 4318995 -154419 272 0 0 2064 Unknown 0 47
2026-08-11T21:40:01Z 4168 100 Discharging N/A 4302840 -15258 272 0 0 1024 Unknown 0 47
