# phase uptime_s ibat_uA vbat_uV capacity
# Q0-start nothing-held ak7375=suspended cam_af=disabled cam_io=disabled
Q0 50801 -115509 3953272 83
Q0 50811 -57373 3975071 83
Q0 50821 -60730 3970206 83
Q0 50831 -83313 3969622 83
Q0 50841 -86669 3970400 83
Q0 50851 -73852 3971179 83
Q0 50861 -113678 3955997 83
Q0 50871 -63934 3972152 83
Q0 50881 -82397 3967286 83
Q0 50891 -82855 3968065 83
Q0 50901 -82397 3968259 83
Q0 50911 -68817 3968259 83
Q0 50921 -57373 3973320 83
Q0 50931 -56610 3971957 83
Q0 50941 -207672 3947433 82
Q0 50951 -56762 3972541 82
Q0 50961 -116882 3953272 82
Q0 50971 -148925 3957165 82
Q0 50982 -72631 3969427 82
Q0 50992 -99029 3961641 82
Q0 51002 -57373 3972347 82
Q0 51012 -114135 3955024 82
Q0 51022 -57220 3971957 82
Q0 51032 -137329 3954245 82
Q0 51042 -106201 3960279 82
Q0 51052 -57830 3972347 82
Q0 51062 -105590 3959890 82
Q0 51072 -57220 3970984 82
Q0 51082 -113830 3961252 82
Q0 51092 -82397 3966313 82
Q0 51102 -69122 3965924 82
Q0 51112 -82702 3967870 82
Q0 51122 -85754 3960863 82
Q0 51132 -57525 3970984 82
Q0 51142 -58441 3971373 82
Q0 51152 -57220 3971179 82
Q0 51162 -107574 3957165 82
Q0 51172 -65002 3968648 82
Q0 51182 -137176 3955802 82
Q0 51192 -118713 3953077 82
Q0 51202 -521088 3876196 82
Q0 51212 -57830 3971373 82
Q0 51222 -57067 3970400 82
Q0 51232 -57067 3970206 82
Q0 51242 -60119 3968259 82
Q0 51252 -82855 3965729 82
Q0 51262 -57220 3970400 82
Q0 51272 -137786 3954829 82
# Q0-end ak7375=suspended cam_af=disabled cam_io=disabled
# Q1-start lens-subdev-only ak7375=suspended cam_af=disabled cam_io=disabled
Q1 51313 -92620 3953856 82
Q1 51323 -61340 3967675 82
Q1 51333 -62866 3969427 82
Q1 51343 -191955 3941594 82
Q1 51353 -81787 3966507 82
Q1 51363 -121460 3955024 82
Q1 51373 -57220 3970595 82
Q1 51383 -133361 3955802 82
Q1 51393 -56610 3970206 82
Q1 51403 -87127 3951520 82
Q1 51413 -85907 3962615 82
Q1 51423 -57983 3968259 82
Q1 51433 -82244 3965729 82
Q1 51443 -111084 3949379 82
Q1 51453 -57067 3968843 82
Q1 51463 -128479 3950547 82
Q1 51473 -78430 3963393 82
Q1 51483 -60577 3964561 82
Q1 51493 -77362 3963783 82
Q1 51503 -59967 3965534 82
Q1 51513 -142212 3951715 82
Q1 51523 -60730 3964950 82
Q1 51533 -188751 3946071 82
Q1 51544 -126495 3955218 82
Q1 51554 -108184 3951326 82
Q1 51564 -57678 3964366 82
Q1 51574 -91095 3949769 82
Q1 51584 -105438 3951910 82
Q1 51594 -138244 3944903 82
Q1 51604 -57220 3965340 82
Q1 51614 -57220 3967870 82
Q1 51624 -126648 3948017 82
Q1 51634 -57830 3964756 82
Q1 51644 -102691 3956386 82
Q1 51654 -101776 3962031 82
Q1 51664 -81634 3962809 82
Q1 51674 -83313 3966897 82
Q1 51684 -130920 3951131 82
Q1 51694 -58288 3965340 82
Q1 51704 -57220 3963783 82
Q1 51714 -84533 3960279 82
Q1 51724 -90179 3961252 82
Q1 51734 -83160 3961252 82
Q1 51744 -147705 3950547 82
Q1 51754 -113067 3947822 82
Q1 51764 -88653 3957165 82
Q1 51774 -57067 3963783 82
Q1 51784 -170135 3947822 82
# Q1-end ak7375=suspended cam_af=disabled cam_io=disabled
# done
