# phase uptime_s ibat_uA vbat_uV capacity
# A-start ak7375=active cam_af=enabled cam_io=enabled wireplumber=active
A 21683 -209503 4132533 98
A 21693 -247345 4144211 98
A 21703 -282135 4135258 98
A 21713 -209655 4143432 98
A 21723 -135040 4160755 98
A 21733 -196380 4153748 98
A 21743 -177917 4146936 98
A 21753 -187378 4144016 98
A 21763 -205078 4141486 98
A 21773 -177917 4143822 98
A 21783 -137176 4158809 98
A 21793 -162353 4156084 98
A 21803 -158996 4156473 98
A 21814 -187530 4143822 98
A 21824 -133972 4159782 98
A 21834 -157928 4156084 98
A 21844 -157623 4155305 98
A 21854 -220337 4138956 98
A 21864 -133056 4156473 98
A 21874 -182037 4135647 98
A 21884 -189666 4135452 98
A 21894 -214996 4139734 98
A 21904 -186615 4140902 98
A 21914 -133667 4152386 98
A 21924 -210876 4138956 98
A 21934 -191192 4156862 98
A 21944 -133972 4156084 98
A 21954 -134430 4155305 98
A 21964 -158691 4150634 97
A 21974 -153503 4153164 97
A 21984 -180969 4136815 97
A 21994 -133972 4154916 97
A 22004 -202179 4142265 97
A 22014 -139923 4150245 97
A 22024 -177154 4143238 97
A 22034 -177765 4139150 97
A 22044 -161743 4148298 97
A 22054 -225219 4131170 97
A 22064 -181579 4135647 97
A 22074 -179290 4143822 97
A 22084 -159454 4140513 97
A 22094 -211486 4137788 97
A 22104 -132751 4151607 97
A 22114 -238037 4131949 97
A 22124 -166168 4126888 97
A 22134 -137024 4151218 97
A 22144 -184021 4130197 97
A 22154 -134124 4151023 97
A 22164 -151977 4150439 97
A 22174 -166473 4147520 97
A 22184 -133667 4151607 97
A 22194 -134277 4144016 97
A 22204 -181884 4128445 97
A 22215 -136566 4142265 97
A 22225 -185241 4133701 97
A 22235 -150451 4139929 97
A 22245 -133819 4148493 97
A 22255 -192413 4139540 97
A 22265 -167083 4135258 97
A 22275 -188751 4136815 97
A 22285 -205383 4133117 97
A 22295 -212249 4125331 97
A 22305 -163879 4134285 97
A 22315 -138092 4146547 97
A 22325 -133819 4146352 97
A 22335 -158844 4137983 97
A 22345 -138397 4144795 97
A 22355 -137329 4145963 97
A 22365 -164337 4136620 97
A 22375 -133972 4145768 97
A 22385 -230102 4128445 97
A 22395 -134582 4143432 97
# A-end ak7375=active cam_af=enabled cam_io=enabled wireplumber=active
# B-start ak7375=suspended cam_af=disabled cam_io=disabled wireplumber=inactive
B 22426 -135345 4153359 97
B 22436 -84533 4167762 97
B 22446 -84228 4176910 97
B 22456 -55389 4182554 97
B 22466 -107269 4166400 97
B 22476 -55542 4181581 97
B 22486 -119781 4170292 97
B 22496 -97351 4180413 97
B 22506 -122985 4174185 97
B 22516 -55084 4186447 97
B 22526 -171356 4161728 97
B 22536 -58288 4170487 97
B 22546 -79803 4171849 97
B 22556 -80871 4182360 97
B 22567 -54779 4187420 97
B 22577 -55542 4187031 97
B 22587 -80413 4182944 97
B 22597 -67901 4185863 97
B 22607 -126037 4164843 97
B 22617 -77819 4187031 97
B 22627 -69885 4170487 97
B 22637 -159607 4158030 97
B 22647 -66680 4184306 97
B 22657 -114898 4178467 97
B 22667 -111541 4170098 97
B 22677 -87280 4176715 97
B 22687 -54779 4189172 97
B 22697 -78887 4186447 97
B 22707 -132904 4166010 97
B 22717 -54931 4187810 97
B 22727 -107269 4178272 97
B 22737 -84228 4181581 97
B 22747 -157470 4171266 97
B 22757 -57067 4185474 97
B 22767 -54321 4186642 97
B 22777 -110168 4164064 97
B 22787 -74920 4185863 97
B 22797 -80108 4180024 97
B 22807 -145111 4172239 97
B 22817 -101165 4175548 97
B 22827 -53863 4188394 97
B 22837 -173034 4156668 97
B 22847 -133361 4165037 97
B 22857 -120849 4170682 97
B 22867 -55084 4188588 97
B 22877 -82702 4180413 97
B 22887 -67138 4180803 97
B 22897 -54779 4189172 97
B 22907 -55542 4185085 97
B 22917 -70800 4182749 97
B 22927 -137176 4174380 97
B 22937 -81481 4183333 97
B 22947 -100250 4170098 96
B 22958 -72937 4183138 96
B 22968 -148773 4169514 96
B 22978 -81481 4178467 96
B 22988 -54168 4186837 96
B 22998 -55236 4187420 96
B 23008 -79803 4181776 96
B 23018 -155487 4154527 96
B 23028 -132598 4176131 96
B 23038 -55236 4187420 96
B 23048 -54779 4184890 96
B 23058 -80108 4179051 96
B 23068 -77819 4180608 96
B 23078 -106964 4180803 96
B 23088 -108184 4167762 96
B 23098 -58593 4182554 96
B 23108 -84838 4177105 96
B 23118 -54931 4186058 96
B 23128 -54321 4185085 96
B 23138 -79040 4181581 96
# B-end ak7375=suspended cam_af=disabled cam_io=disabled wireplumber=inactive
# restored ak7375=active cam_af=enabled cam_io=enabled wireplumber=active
# done
# C phase: wireplumber running, camera monitors disabled
C 23417 -170898 4125915 96
C 23427 -56610 4169514 96
C 23437 -68206 4161923 96
C 23447 -55694 4169903 96
C 23457 -62561 4172239 96
C 23467 -111236 4157252 96
C 23477 -61645 4170682 96
C 23487 -65765 4163869 96
C 23497 -131988 4158030 96
C 23507 -84075 4169319 96
C 23517 -55236 4174574 96
C 23527 -69427 4169514 96
C 23537 -63018 4169125 96
C 23547 -55389 4174574 96
C 23557 -85144 4166400 96
C 23567 -98266 4158809 96
C 23577 -84075 4169125 96
C 23587 -60424 4174380 96
C 23597 -66986 4165426 96
C 23607 -55542 4175548 96
C 23617 -70343 4168151 96
C 23627 -58898 4171849 96
C 23637 -178985 4147131 96
C 23647 -90179 4166010 96
C 23657 -61950 4171460 96
C 23667 -54168 4175353 96
C 23677 -59356 4173017 96
C 23687 -80871 4169903 96
C 23697 -80108 4170292 96
C 23707 -106201 4153164 96
C 23717 -98419 4166010 96
C 23727 -53405 4173601 96
C 23737 -147705 4144600 96
C 23747 -73700 4169708 96
C 23757 -54779 4174964 96
C 23767 -60882 4174380 96
C 23777 -81939 4163480 96
C 23787 -57373 4173407 96
C 23797 -54779 4172239 96
C 23807 -170288 4142849 96
C 23818 -103302 4167373 96
C 23828 -54626 4175353 96
C 23838 -55236 4174769 96
C 23848 -79650 4168930 96
C 23858 -271301 4122801 96
C 23868 -112457 4165037 96
C 23878 -175018 4141486 96
C 23888 -54779 4173601 96
C 23898 -64544 4172823 96
C 23908 -97503 4166010 96
C 23918 -241241 4146352 96
C 23928 -54626 4173990 96
C 23938 -64697 4168735 96
C 23948 -164184 4146157 96
C 23958 -55084 4172239 96
C 23968 -79345 4170292 96
C 23978 -69580 4171460 96
C 23988 -54779 4173407 96
C 23998 -151062 4153359 96
C 24008 -54473 4172044 96
C 24018 -173339 4145963 96
C 24028 -55389 4173212 96
C 24038 -57983 4172433 96
C 24048 -131378 4149272 96
C 24058 -54626 4171655 96
C 24068 -106506 4160171 96
C 24078 -61187 4168346 96
C 24088 -55084 4170487 96
C 24098 -54931 4172628 96
C 24108 -111847 4154721 96
C 24118 -133819 4147909 95
C 24128 -56152 4171655 95
# done
