# iso_time uptime_s capacity status charge_type vbat_uV ibat_uA temp_dC usb_online usb_imax_uA usb_vbus_uV usb_real_type charge_done chgr_status_reg
2026-08-13T05:30:32Z 30221 87 Charging Fast 4220314 250702 276 1 500000 4859168 - - 03
2026-08-13T05:31:02Z 30250 87 Charging Fast 4229462 236206 276 1 500000 4861232 - - 03
2026-08-13T05:31:32Z 30281 87 Charging Fast 4251456 314941 277 1 500000 4864352 - - 03
2026-08-13T05:32:02Z 30310 87 Charging Fast 4227516 255737 277 1 500000 4861232 - - 03
2026-08-13T05:32:32Z 30341 88 Charging Fast 4267416 339966 277 1 500000 4857088 - - 03
2026-08-13T05:33:02Z 30370 88 Charging Fast 4250483 255890 278 1 500000 4845664 - - 03
2026-08-13T05:33:33Z 30401 88 Charging Fast 4279094 365753 278 1 500000 4861232 - - 03
2026-08-13T05:34:02Z 30430 88 Charging Fast 4279094 339966 279 1 500000 4860192 - - 03
2026-08-13T05:34:33Z 30461 88 Charging Fast 4280457 365143 279 1 500000 4860192 - - 03
2026-08-13T05:35:02Z 30490 88 Charging Fast 4287464 358276 280 1 500000 4856048 - - 03
2026-08-13T05:36:02Z 30550 88 Charging Fast 4294471 336761 281 1 500000 4862272 - - 03
2026-08-13T05:37:02Z 30611 88 Charging Fast 4287269 313263 281 1 500000 4864352 - - 03
2026-08-13T05:38:02Z 30671 89 Charging Fast 4308679 362701 281 1 500000 4863312 - - 03
2026-08-13T05:39:02Z 30731 89 Charging Fast 4304397 294189 282 1 500000 4860192 - - 03
2026-08-13T05:40:02Z 30791 89 Charging Fast 4316270 357055 282 1 500000 4856048 - - 03
2026-08-13T05:41:02Z 30851 89 Charging Fast 4309847 311889 283 1 500000 4862272 - - 03
2026-08-13T05:42:03Z 30911 89 Charging Fast 4328143 356445 283 1 500000 4861232 - - 03
2026-08-13T05:43:03Z 30971 89 Charging Fast 4317243 328674 284 1 500000 4858128 - - 03
2026-08-13T05:44:03Z 31031 90 Charging Fast 4325613 295257 284 1 500000 4863312 - - 03
2026-08-13T05:45:03Z 31091 90 Charging Fast 4301478 252380 285 1 500000 4863312 - - 03
2026-08-13T05:46:03Z 31151 90 Charging Fast 4343909 310669 285 1 500000 4864352 - - 03
2026-08-13T05:47:03Z 31212 90 Charging Fast 4337291 316162 286 1 500000 4856048 - - 03
2026-08-13T05:48:03Z 31272 90 Charging Fast 4345271 319977 286 1 500000 4847744 - - 03
2026-08-13T05:49:03Z 31332 91 Charging Fast 4347217 310516 287 1 500000 4859168 - - 03
2026-08-13T05:50:03Z 31392 91 Charging Fast 4360258 357208 287 1 500000 4864352 - - 03
2026-08-13T05:51:03Z 31452 91 Charging Fast 4363178 338592 287 1 500000 4863312 - - 03
2026-08-13T05:52:03Z 31512 91 Charging Fast 4366097 343933 288 1 500000 4857088 - - 03
2026-08-13T05:53:04Z 31572 91 Charging Fast 4357922 288391 288 1 500000 4859168 - - 03
2026-08-13T05:54:04Z 31632 91 Charging Fast 4377581 347595 288 1 500000 4862272 - - 03
2026-08-13T05:55:04Z 31692 92 Charging Fast 4358506 209961 288 1 500000 4862272 - - 03
2026-08-13T05:56:04Z 31752 92 Charging Fast 4376608 308838 288 1 500000 4859168 - - 03
2026-08-13T05:57:04Z 31812 92 Charging Fast 4376024 307464 289 1 500000 4864352 - - 03
2026-08-13T05:58:04Z 31873 92 Charging Fast 4391205 329437 290 1 500000 4847744 - - 03
2026-08-13T05:59:04Z 31933 92 Charging Fast 4398796 352783 290 1 500000 4862272 - - 03
