off VBUS: online=0 status=Discharging
=== settle 300 s awake, then the awake reference ===
awake t=0 i=-58593 v=4033852
awake t=3 i=-216522 v=4000569
awake t=6 i=-286407 v=3986555
awake t=9 i=-131073 v=4015945
awake t=12 i=-216522 v=4005046
awake t=15 i=-81176 v=4022758
awake t=18 i=-58593 v=4031322
awake t=21 i=-119171 v=4021395
awake t=24 i=-59204 v=4029764
awake t=27 i=-58746 v=4032879
=== deep suspend 900 s ===
slept 901s of 900s
=== resume transient: 90 samples at 2 s = 180 s ===
resume t=0 i=-157623 v=4006992
resume t=2 i=-253143 v=3971373
resume t=4 i=-132751 v=4006408
resume t=6 i=-256195 v=3978380
resume t=8 i=-96893 v=4010495
resume t=10 i=-102081 v=4002321
resume t=12 i=-95062 v=4009522
resume t=14 i=-137786 v=3996092
resume t=16 i=-214843 v=3986360
resume t=18 i=-148773 v=3995898
resume t=20 i=-225219 v=3977991
resume t=22 i=-324859 v=3944903
resume t=24 i=-100555 v=4007965
resume t=26 i=-179901 v=4000180
resume t=28 i=-101318 v=4007770
resume t=30 i=-243835 v=3973514
resume t=32 i=-108184 v=4008354
resume t=34 i=-118560 v=4000764
resume t=36 i=-133514 v=3998428
resume t=38 i=-288696 v=3971763
resume t=40 i=-253448 v=3974877
resume t=42 i=-116424 v=4005435
resume t=44 i=-146331 v=3993367
resume t=46 i=-97351 v=4006408
resume t=48 i=-225830 v=3975266
resume t=50 i=-281067 v=3953467
resume t=52 i=-93383 v=4001347
resume t=54 i=-214233 v=3969427
resume t=56 i=-110931 v=4004072
resume t=58 i=-136718 v=4004462
resume t=60 i=-199737 v=3973514
resume t=62 i=-224151 v=3978575
resume t=64 i=-148773 v=3992589
resume t=66 i=-241851 v=3972930
resume t=68 i=-147552 v=3996287
resume t=70 i=-207061 v=3968454
resume t=72 i=-95672 v=4003099
resume t=74 i=-165863 v=3987334
resume t=76 i=-200042 v=3976239
resume t=78 i=-96740 v=4003099
resume t=80 i=-285339 v=3974682
resume t=82 i=-105896 v=4000958
resume t=84 i=-143585 v=3988891
resume t=86 i=-260009 v=3960279
resume t=88 i=-98877 v=4001931
resume t=90 i=-115356 v=3999401
resume t=92 i=-196228 v=3975266
resume t=94 i=-119628 v=4000958
resume t=96 i=-134124 v=4000958
resume t=98 i=-192718 v=3968648
resume t=100 i=-102844 v=4002126
resume t=102 i=-260315 v=3966313
resume t=104 i=-272216 v=3978380
resume t=106 i=-449524 v=3945876
resume t=108 i=-249481 v=3965534
resume t=110 i=-94299 v=3999985
resume t=112 i=-205383 v=3974488
resume t=114 i=-93689 v=3998817
resume t=116 i=-110321 v=3995119
resume t=118 i=-271759 v=3937117
resume t=120 i=-94757 v=3999401
resume t=122 i=-97961 v=3997065
resume t=124 i=-233459 v=3968843
resume t=126 i=-226135 v=3982273
resume t=128 i=-93689 v=3996092
resume t=130 i=-108642 v=3996676
resume t=132 i=-145721 v=3989669
resume t=134 i=-234222 v=3972541
resume t=136 i=-148773 v=3992200
resume t=138 i=-98419 v=3992589
resume t=140 i=-214233 v=3964950
resume t=142 i=-251007 v=3959306
resume t=144 i=-213470 v=3977212
resume t=146 i=-112609 v=3994730
resume t=148 i=-220184 v=3960668
resume t=150 i=-98114 v=4000374
resume t=152 i=-202789 v=3971373
resume t=154 i=-94146 v=3995703
resume t=156 i=-219421 v=3967675
resume t=158 i=-93078 v=3997649
resume t=160 i=-93994 v=3999206
resume t=162 i=-243530 v=3968843
resume t=164 i=-158844 v=3986944
resume t=166 i=-111847 v=3985971
resume t=168 i=-97656 v=3997455
resume t=170 i=-211029 v=3971957
resume t=172 i=-221557 v=3941983
resume t=174 i=-96588 v=3995898
resume t=176 i=-153808 v=3992005
resume t=178 i=-104522 v=3994146
=== done ===
