# idle-ab Mon Aug 24 21:34:37 CEST 2026 os=ut window=3600s
# kernel=4.9.218-perf-ubuntutouch+ #1 SMP PREEMPT Wed Jul 1 23:32:52 CEST 2026
# blanked: /sys/class/graphics/fb0/blank /sys/class/graphics/fb1/blank dpms=
# on battery: v=4051369
# t_s current_uA voltage_uV cc_soc
0 -49438 4050201 7628
5 -15106 4038523 7628
10 -57373 4044751 7628
15 -25177 4053510 7628
20 -15411 4052731 7628
25 -17242 4058570 7628
30 -20904 4038717 7628
36 -26245 4057013 7628
41 -16479 4031710 7628
46 -56762 4042805 7628
51 -27618 4039301 7626
56 -38604 4048644 7626
61 -16326 4037160 7626
66 -33416 4045919 7626
71 -16174 4042026 7626
76 -32653 4052536 7626
81 -17395 4050006 7626
86 -44860 4027428 7626
91 -44708 4050395 7626
96 -14953 4037939 7626
101 -48370 4039690 7626
106 -26397 4035019 7626
111 -39672 4052342 7626
117 -46539 4048644 7624
122 -32348 4031710 7624
127 -45471 4042999 7624
132 -66528 4043972 7624
137 -15258 4047281 7624
142 -14495 4057013 7624
147 -14495 4035019 7624
152 -18463 4034435 7624
157 -36621 4049617 7624
162 -62408 4037160 7624
167 -39672 4046113 7624
172 -14495 4043778 7624
177 -196991 4006602 7624
182 -158844 4019643 7622
187 -57067 4047476 7622
193 -65307 4033073 7622
198 -20446 4055651 7622
203 -57678 4039301 7622
208 -65155 4038912 7622
213 -20904 4034825 7622
218 -55084 4040664 7622
223 -14495 4038133 7622
228 -16174 4033657 7622
233 -39520 4045335 7622
238 -41961 4047865 7622
243 -38452 4048644 7620
248 -15716 4030737 7620
253 -32043 4050006 7620
259 -25329 4024703 7620
264 -34637 4050979 7620
269 -15411 4031321 7620
274 -20751 4054094 7620
279 -27618 4020421 7620
284 -18005 4053704 7620
289 -15411 4035214 7620
294 -25024 4055261 7620
299 -48065 4046503 7620
304 -16021 4033462 7620
309 -44555 4045919 7618
314 -38604 4031905 7618
319 -31890 4049228 7618
324 -53863 4046308 7618
330 -23498 4050006 7618
335 -79956 4045724 7618
340 -88958 4042221 7618
345 -62103 4031126 7618
350 -43334 4044751 7618
355 -27923 4053315 7618
360 -85907 4035798 7618
365 -90942 4035603 7618
370 -14953 4034046 7618
375 -77972 4034825 7617
380 -31738 4048644 7617
385 -15716 4032684 7617
390 -69732 4017891 7617
396 -43029 4047671 7617
401 -84533 4044751 7617
406 -15411 4055261 7617
411 -53863 4034630 7617
416 -21209 4053704 7617
421 -46844 4032684 7617
426 -24261 4054288 7617
431 -14953 4031126 7617
436 -26702 4045919 7615
441 -26397 4045919 7615
446 -50354 4048254 7615
451 -15869 4045530 7615
456 -15716 4045724 7615
461 -47607 4040274 7615
467 -22125 4030737 7615
472 -36163 4047087 7615
477 -23498 4015166 7615
482 -35858 4045919 7615
487 -49438 4042805 7615
492 -15258 4053704 7615
497 -21972 4033073 7615
502 -66070 4039885 7613
507 -43640 4031126 7613
512 -21209 4054094 7613
517 -24871 4035798 7613
522 -25787 4052926 7613
527 -15411 4039885 7613
532 -15258 4054288 7613
537 -15716 4027428 7613
543 -15106 4046503 7613
548 -15106 4054483 7613
553 -19683 4037744 7613
558 -45623 4051758 7613
563 -36926 4021395 7613
568 -15563 4054483 7611
573 -15106 4029180 7611
578 -16174 4053704 7611
583 -23498 4025093 7611
588 -34027 4048254 7611
593 -33111 4046892 7611
598 -15106 4024119 7611
603 -35553 4045919 7611
608 -59814 4038523 7611
614 -17700 4028596 7611
619 -25177 4047281 7611
624 -15869 4031905 7611
629 -15411 4044751 7609
634 -40435 4046697 7609
639 -20751 4043389 7609
644 -24719 4048060 7609
649 -48828 4047087 7609
654 -64392 4045530 7609
659 -16021 4041637 7609
664 -44250 4047087 7609
669 -14343 4043778 7609
674 -20751 4052731 7609
679 -24719 4022562 7609
685 -43945 4044167 7609
690 -26397 4040274 7609
695 -72631 4035798 7608
700 -29602 4022757 7608
705 -18768 4034241 7608
710 -38147 4047671 7608
715 -14953 4029375 7608
720 -32653 4047865 7608
725 -15869 4036771 7608
730 -15106 4029959 7608
735 -39215 4046113 7608
740 -42419 4046892 7608
745 -25177 4046308 7608
751 -27465 4053704 7608
756 -15869 4030542 7608
761 -72631 4041637 7606
766 -21667 4019837 7606
771 -23193 4045724 7606
776 -137481 3999595 7606
781 -14343 3995119 7606
786 -47149 4041442 7606
791 -96435 4025677 7606
796 -19989 4049617 7606
801 -22125 4027234 7606
806 -31280 4044362 7606
811 -17089 4028012 7606
816 -18310 4049033 7606
821 -30822 4032878 7604
827 -34332 4044556 7604
832 -15106 4023146 7604
837 -27618 4044167 7604
842 -22125 4026650 7604
847 -28228 4045919 7604
852 -28381 4037160 7604
857 -42877 4044167 7604
862 -24871 4026650 7604
867 -22583 4042805 7604
872 -39215 4040274 7604
877 -22430 4025677 7604
882 -72937 4030542 7604
887 -62103 4042221 7602
892 -15106 4035992 7602
897 -82855 4030737 7602
903 -65307 4013998 7602
908 -26702 4047087 7602
913 -23651 4022562 7602
918 -29144 4045140 7602
923 -15258 4031516 7602
928 -83618 4035992 7602
933 -78582 4031516 7602
938 -43334 4042610 7602
943 -20446 4051758 7602
948 -38757 4031516 7600
953 -48065 4032100 7600
958 -54016 4044946 7600
963 -68206 4043778 7600
969 -62408 4024703 7600
974 -22277 4048254 7600
979 -15563 4029764 7600
984 -15106 4051758 7600
989 -47149 4045335 7600
994 -15716 4041637 7600
999 -14801 4044751 7600
1004 -48370 4040274 7600
1009 -14495 4033657 7600
1014 -47149 4044946 7598
1019 -31280 4032294 7598
1024 -32501 4044167 7598
1029 -15106 4028401 7598
1034 -40588 4043972 7598
1040 -27313 4026844 7598
1045 -56915 4043972 7598
1050 -16784 4023146 7598
1055 -69427 4032684 7598
1060 -41503 4021784 7598
1065 -29449 4039301 7598
1070 -61798 4031905 7598
1075 -15258 4045724 7598
1080 -15258 4029764 7597
1085 -84991 4036187 7597
1090 -46386 4028012 7597
1095 -35705 4048449 7597
1100 -15563 4051369 7597
1105 -15716 4044946 7597
1110 -16479 4051563 7597
1116 -48522 4044946 7597
1121 -75988 4042221 7597
1126 -99182 4033657 7597
1131 -58746 4044167 7597
1136 -22583 4030737 7597
1141 -78887 4032294 7595
1146 -20294 4028791 7595
1151 -30365 4041637 7595
1156 -68359 4026844 7595
1161 -25939 4043389 7595
1166 -36773 4043583 7595
1171 -194091 4010300 7595
1177 -167389 4002709 7595
1182 -51727 4034435 7595
1187 -63781 4036187 7595
1192 -18005 4026455 7595
1197 -15258 4042026 7595
1202 -62103 4036771 7595
1207 -106811 4028401 7592
1212 -72021 4041637 7592
1217 -63476 4015555 7592
1222 -23651 4041831 7592
1227 -59356 4031126 7592
1232 -66986 4037355 7592
1237 -97656 4028596 7592
1243 -52185 4043389 7592
1248 -78887 4040274 7592
1253 -24108 4045335 7592
1258 -15411 4043194 7592
1263 -62713 4032294 7592
1268 -33874 4043972 7592
1273 -15411 4042999 7591
1278 -16937 4046113 7591
1283 -49743 4044751 7591
1288 -49743 4041248 7591
1293 -50964 4040858 7591
1298 -16937 4028985 7591
1304 -45318 4043194 7591
1309 -53405 4025093 7591
1314 -48522 4042221 7591
1319 -42572 4019254 7591
1324 -65307 4028791 7591
1329 -34179 4020616 7591
1334 -34332 4041053 7589
1339 -61950 4015750 7589
1344 -33111 4041637 7589
1349 -24108 4026066 7589
1354 -47302 4041831 7589
1359 -15716 4036771 7589
1364 -15258 4026844 7589
1369 -50659 4041248 7589
1374 -15258 4050201 7589
1380 -95214 4020616 7589
1385 -80261 4033073 7589
1390 -21057 4029764 7589
1395 -25787 4047281 7589
1400 -20904 4042221 7586
1405 -14953 4049812 7586
1410 -40740 4023730 7586
1415 -31280 4037160 7586
1420 -46691 4038912 7586
1425 -21362 4026260 7586
1430 -19226 4047865 7586
1435 -46386 4042610 7586
1440 -16632 4024314 7586
1446 -35858 4036187 7586
1451 -15411 4048449 7586
1456 -94146 4029375 7586
1461 -14495 4040664 7586
1466 -49591 4014972 7585
1471 -82244 4029959 7585
1476 -24108 4049033 7585
1481 -48522 4040858 7585
1486 -27771 4014777 7585
1491 -18615 4033073 7585
1496 -54321 4038912 7585
1501 -43487 4033073 7585
1506 -25787 4034241 7585
1511 -30975 4040080 7585
1516 -15869 4026066 7585
1522 -30670 4042415 7585
1527 -15106 4041442 7583
1532 -22125 4041248 7583
1537 -25634 4027623 7583
1542 -26855 4046113 7583
1547 -50354 4039885 7583
1552 -15563 4039885 7583
1557 -15411 4050006 7583
1562 -43792 4041831 7583
1567 -24414 4048449 7583
1572 -53710 4042415 7583
1577 -16632 4025482 7583
1582 -44097 4035603 7583
1587 -21972 4025871 7583
1593 -35247 4040274 7581
1598 -22277 4027428 7581
1603 -15411 4048449 7581
1608 -49438 4042415 7581
1613 -44250 4020421 7581
1618 -23803 4041248 7581
1623 -46844 4039885 7581
1628 -16326 4048254 7581
1633 -50506 4034825 7581
1638 -15258 4022562 7581
1643 -32501 4040664 7581
1648 -48522 4039690 7581
1653 -16632 4039496 7581
1658 -40893 4039107 7579
1664 -38452 4034241 7579
1669 -42114 4039301 7579
1674 -56152 4031905 7579
1679 -39672 4026260 7579
1684 -40893 4036187 7579
1689 -20294 4047671 7579
1694 -46691 4041442 7579
1699 -15563 4047087 7579
1704 -15716 4033657 7579
1709 -16326 4027039 7579
1714 -32501 4042026 7579
1719 -15411 4036771 7577
1724 -30975 4042610 7577
1729 -15258 4022757 7577
1734 -40435 4041442 7577
1740 -37994 4040080 7577
1745 -80719 4009716 7577
1750 -44097 4040858 7577
1755 -19378 4013804 7577
1760 -32653 4039885 7577
1765 -21972 4040274 7577
1770 -14495 4027234 7577
1775 -73394 4028401 7577
1780 -47149 4039885 7577
1785 -18920 4026455 7575
1790 -31738 4039690 7575
1795 -15411 4040274 7575
1800 -15106 4048449 7575
1806 -16784 4034046 7575
1811 -15258 4031516 7575
1816 -14648 4048254 7575
1821 -15563 4028012 7575
1826 -76446 4036382 7575
1831 -26397 3983830 7575
1836 -45776 4026260 7575
1841 -15258 4026260 7575
1846 -38452 4036187 7575
1851 -40435 4027623 7573
1856 -14953 4038912 7573
1861 -17089 4017891 7573
1866 -15258 4029959 7573
1871 -62103 4024898 7573
1877 -31127 4041053 7573
1882 -26855 4037160 7573
1887 -43792 4020421 7573
1892 -42572 4037549 7573
1897 -48828 4031905 7573
1902 -36163 4038717 7573
1907 -14495 4021589 7573
1912 -58136 4039496 7571
1917 -48522 4025287 7571
1922 -43182 4038717 7571
1927 -22735 4046308 7571
1932 -21972 4017307 7571
1937 -19836 4039496 7571
