# vlow-idle tag=pmos-r73-idle dur=5400s ival=30s boot_id=e3095c9a-1c43-4639-bbde-45cedbc12910
# link=wifi cable=in charger=Full
# dpms=Off mdss_delta_5s=0 (must be 0 for a real off)
uptime vlow_count vmin_count vlow_votes vmin_votes
178.25 0 0 0x1030105 0x0
208.29 0 0 0x1050103 0x0
238.32 0 0 0x7030703 0x0
268.36 0 0 0x5070307 0x0
298.40 0 0 0x5010501 0x0
328.44 0 0 0x3010501 0x0
358.48 0 0 0x5070301 0x0
388.52 0 0 0x3070501 0x0
418.56 0 0 0x1030105 0x0
448.59 0 0 0x5010501 0x0
478.63 0 0 0x7030703 0x0
508.66 0 0 0x7030705 0x0
538.70 0 0 0x7030703 0x0
568.74 0 0 0x3010501 0x0
598.78 0 0 0x3070301 0x0
628.82 0 0 0x1030105 0x0
658.87 0 0 0x5070301 0x0
688.91 0 0 0x1050103 0x0
718.95 0 0 0x5010501 0x0
748.99 0 0 0x5070501 0x0
779.03 0 0 0x3010501 0x0
809.07 0 0 0x7030703 0x0
839.11 0 0 0x7030703 0x0
869.14 0 0 0x3070301 0x0
899.18 0 0 0x1030703 0x0
929.22 0 0 0x5010501 0x0
959.26 0 0 0x1030105 0x0
989.29 0 0 0x1050105 0x0
1019.33 0 0 0x3010501 0x0
1049.36 0 0 0x3070301 0x0
1079.40 0 0 0x7030703 0x0
1109.43 0 0 0x5070301 0x0
1139.48 0 0 0x1050103 0x0
1169.51 0 0 0x5010501 0x0
1199.56 0 0 0x5010501 0x0
1229.60 0 0 0x3010501 0x0
1259.64 0 0 0x5010501 0x0
1289.68 0 0 0x1030703 0x0
1319.72 0 0 0x7030105 0x0
1349.75 0 0 0x7030703 0x0
1379.79 0 0 0x5010501 0x0
1409.83 0 0 0x3070307 0x0
1439.87 0 0 0x5010501 0x0
1469.91 0 0 0x7030703 0x0
1499.94 0 0 0x3070301 0x0
1529.98 0 0 0x3010501 0x0
1560.02 0 0 0x5010301 0x0
1590.07 0 0 0x5010307 0x0
1620.11 0 0 0x5010501 0x0
1650.14 0 0 0x5010501 0x0
1680.17 0 0 0x7030703 0x0
1710.21 0 0 0x3010501 0x0
1740.25 0 0 0x7030703 0x0
1770.29 0 0 0x7030105 0x0
1800.33 0 0 0x3070301 0x0
1830.37 0 0 0x1050103 0x0
1860.41 0 0 0x1050105 0x0
1890.45 0 0 0x7030703 0x0
1920.48 0 0 0x7030703 0x0
1950.52 0 0 0x7030703 0x0
1980.56 0 0 0x3010501 0x0
2010.61 0 0 0x3070301 0x0
2040.65 0 0 0x7030703 0x0
2070.69 0 0 0x5010501 0x0
2100.73 0 0 0x7030703 0x0
2130.77 0 0 0x1050705 0x0
2160.81 0 0 0x3010501 0x0
2190.85 0 0 0x7050105 0x0
2220.89 0 0 0x1030703 0x0
2250.93 0 0 0x5010301 0x0
2280.97 0 0 0x3070307 0x0
2311.01 0 0 0x1050703 0x0
2341.04 0 0 0x7030703 0x0
2371.08 0 0 0x1050105 0x0
2401.12 0 0 0x5010501 0x0
2431.16 0 0 0x3010501 0x0
2461.20 0 0 0x7030105 0x0
2491.25 0 0 0x3070301 0x0
2521.29 0 0 0x1050103 0x0
2551.33 0 0 0x5010507 0x0
2581.36 0 0 0x5010501 0x0
2611.40 0 0 0x5010501 0x0
2641.44 0 0 0x7030703 0x0
2671.47 0 0 0x1030703 0x0
2701.52 0 0 0x3070301 0x0
2731.56 0 0 0x7030703 0x0
2761.60 0 0 0x1050103 0x0
2791.63 0 0 0x7030703 0x0
2821.67 0 0 0x5010501 0x0
2851.71 0 0 0x5010501 0x0
2881.75 0 0 0x3010501 0x0
2911.79 0 0 0x3010501 0x0
2941.84 0 0 0x7030703 0x0
2971.88 0 0 0x3070307 0x0
3001.92 0 0 0x7030703 0x0
3031.96 0 0 0x5010501 0x0
3062.00 0 0 0x3070307 0x0
3092.03 0 0 0x5010501 0x0
3122.07 0 0 0x3010501 0x0
3152.11 0 0 0x3010501 0x0
3182.15 0 0 0x1030703 0x0
3212.19 0 0 0x1050103 0x0
3242.23 0 0 0x5010501 0x0
3272.27 0 0 0x7030703 0x0
3302.30 0 0 0x5010501 0x0
3332.33 0 0 0x3070307 0x0
3362.37 0 0 0x3010501 0x0
3392.41 0 0 0x7030703 0x0
3422.45 0 0 0x5010307 0x0
3452.49 0 0 0x1050103 0x0
3482.53 0 0 0x7030703 0x0
3512.56 0 0 0x1050105 0x0
3542.61 0 0 0x5010501 0x0
3572.65 0 0 0x3010501 0x0
3602.68 0 0 0x7030703 0x0
