# idle-ab Tue Aug 25 13:11:12 CEST 2026 os=ut window=1800s
# kernel=4.9.218-perf-ubuntutouch+ #1 SMP PREEMPT Wed Jul 1 23:32:52 CEST 2026
# asking for the panel off, then waiting up to 240s for the hardware to say it is
# panel: bl_power='' dpms='' brightness='' waited=0s blanked: /sys/class/graphics/fb0/blank /sys/class/graphics/fb1/blank
# on battery: v=4296417
# t_s current_uA voltage_uV cc_soc
0 -66070 4275590 9848
5 -222473 4279094 9856
10 -50048 4282792 9856
15 -30822 4273839 9856
20 -82244 4276174 9856
25 -82855 4276369 9856
30 -77362 4224012 9856
35 -37841 4281235 9856
40 -30975 4285906 9856
46 -52337 4257684 9856
51 -60119 4274228 9856
56 -30670 4214085 9856
61 -124816 4266248 9856
66 -130615 4260993 9853
71 -54626 4264885 9853
76 -51879 4254375 9853
81 -31585 4275590 9853
86 -33111 4257100 9853
91 -56762 4259046 9853
96 -79650 4235301 9853
101 -43029 4257684 9853
106 -31280 4274617 9853
111 -67749 4257684 9853
116 -30822 4272087 9853
121 -31280 4253986 9853
126 -31890 4272476 9853
131 -63934 4259241 9849
136 -58898 4249704 9849
141 -199432 4258462 9849
146 -31433 4252039 9849
152 -40283 4253207 9849
157 -30975 4249314 9849
162 -97656 4251650 9849
167 -31433 4270141 9849
172 -43945 4244838 9849
177 -30517 4255738 9849
182 -31585 4267805 9849
187 -61492 4261966 9849
192 -36773 4216226 9849
197 -43334 4251261 9846
202 -32348 4234717 9846
207 -37384 4247368 9846
212 -173950 4215448 9846
217 -72326 4244643 9846
222 -76904 4262355 9846
227 -57373 4257295 9846
232 -40893 4245422 9846
238 -128326 4214085 9846
243 -32043 4251845 9846
248 -46539 4247173 9846
253 -35705 4250288 9846
258 -31127 4263134 9842
263 -104675 4202407 9842
268 -49285 4262744 9842
273 -45013 4258073 9842
278 -50811 4257879 9842
283 -31127 4256321 9842
288 -110168 4243281 9842
293 -42114 4258462 9842
298 -45318 4243475 9842
303 -64697 4257295 9842
308 -55694 4231797 9842
313 -174408 4214864 9842
319 -31127 4252039 9842
324 -34027 4260993 9839
329 -31433 4244449 9839
334 -90026 4246784 9839
339 -58136 4180413 9839
344 -94604 4248731 9839
349 -44403 4250677 9839
354 -65460 4252039 9839
359 -31738 4240750 9839
364 -134735 4255932 9839
369 -57220 4244838 9839
374 -49591 4254570 9839
379 -61950 4253013 9839
384 -109405 4224012 9839
389 -30212 4226737 9836
394 -31890 4253013 9836
400 -43945 4259630 9836
405 -30975 4255348 9836
410 -46844 4258073 9836
415 -30670 4199487 9836
420 -58593 4242502 9836
425 -32348 4248536 9836
430 -47760 4252429 9836
435 -243530 4240167 9836
440 -33721 4259630 9836
445 -30670 4252623 9836
450 -174408 4217199 9832
455 -38604 4239583 9832
460 -169525 4242308 9832
465 -47454 4237247 9832
470 -95214 4247173 9832
475 -49743 4251261 9832
480 -33264 4248536 9832
486 -154571 4245032 9832
491 -46386 4250677 9832
496 -42114 4248925 9832
501 -31433 4236079 9832
506 -50048 4249898 9832
511 -93994 4247368 9832
516 -30670 4248536 9829
521 -53405 4229851 9829
526 -73089 4236274 9829
531 -38757 4253207 9829
536 -33111 4236663 9829
541 -31127 4256711 9829
546 -31280 4245032 9829
551 -31585 4255932 9829
556 -173187 4235106 9829
561 -45928 4255738 9829
566 -57220 4233354 9829
572 -56915 4247952 9829
577 -31890 4244838 9829
582 -40435 4218951 9825
587 -92926 4238415 9825
592 -97198 4231603 9825
597 -70190 4251261 9825
602 -107116 4241918 9825
607 -39825 4251845 9825
612 -31280 4243086 9825
617 -30822 4253013 9825
622 -48522 4240750 9825
627 -106048 4241334 9825
632 -31738 4230435 9825
637 -65460 4242308 9825
642 -32196 4254180 9822
647 -52185 4232965 9822
652 -52795 4252623 9822
657 -46539 4254764 9822
662 -59356 4243086 9822
668 -63476 4242891 9822
673 -126037 4229462 9822
678 -36621 4255154 9822
683 -54931 4231213 9822
688 -31738 4235301 9822
693 -60577 4245227 9822
698 -141296 4234133 9822
703 -37689 4253986 9822
708 -38757 4234522 9818
713 -52032 4235495 9818
718 -58593 4240750 9818
723 -36773 4242308 9818
728 -31280 4228099 9818
733 -48980 4243475 9818
738 -32806 4228294 9818
743 -108947 4231992 9818
748 -100555 4167956 9818
754 -62103 4243281 9818
759 -58288 4239583 9818
764 -56762 4240945 9818
769 -114135 4231603 9818
774 -52642 4246590 9815
779 -31280 4250677 9815
784 -50048 4232770 9815
789 -31433 4249704 9815
794 -162353 4234133 9815
799 -97198 4237442 9815
804 -37536 4252234 9815
809 -30365 4233354 9815
814 -37384 4250872 9815
819 -34332 4230240 9815
824 -36926 4242502 9815
829 -38299 4251455 9815
834 -64392 4233354 9811
840 -37689 4242502 9811
845 -48675 4229267 9811
850 -63629 4249898 9811
855 -31738 4233160 9811
860 -46844 4243475 9811
865 -220489 4206494 9811
870 -83007 4231797 9811
875 -46539 4220897 9811
880 -42572 4212528 9811
885 -85754 4230240 9811
890 -260467 4194621 9811
895 -35095 4243281 9811
900 -48828 4249509 9808
905 -40130 4241334 9808
910 -76599 4237247 9808
915 -32043 4229656 9808
920 -62408 4230045 9808
925 -37841 4242308 9808
931 -30670 4230045 9808
936 -49896 4243086 9808
941 -31738 4183138 9808
946 -51269 4241918 9808
951 -69885 4244838 9808
956 -56152 4240750 9808
961 -241241 4191507 9808
966 -33264 4239583 9804
971 -30670 4248731 9804
976 -31127 4236274 9804
981 -64849 4246784 9804
986 -30822 4224985 9804
991 -52795 4240361 9804
996 -47760 4231797 9804
1001 -60730 4240945 9804
1006 -102539 4203186 9804
1011 -31280 4230629 9804
1016 -84533 4233354 9804
1021 -90026 4224012 9804
1027 -104675 4232576 9801
1032 -110626 4172044 9801
1037 -37536 4239388 9801
1042 -67138 4239583 9801
1047 -51269 4245422 9801
1052 -70648 4225958 9801
1057 -49438 4247173 9801
1062 -61950 4240945 9801
1067 -41198 4241529 9801
1072 -36926 4247173 9801
1077 -129242 4225179 9801
1082 -31127 4222260 9801
1087 -74310 4234717 9801
1092 -62561 4240167 9797
1097 -30822 4238609 9797
1103 -41046 4246590 9797
1108 -133361 4236468 9797
1113 -40893 4228294 9797
1118 -31127 4237052 9797
1123 -37536 4246200 9797
1128 -98571 4234327 9797
1133 -104675 4229072 9797
1138 -77209 4228294 9797
1143 -110321 4232965 9797
1148 -75073 4235301 9797
1153 -134887 4226542 9797
1158 -50811 4239193 9794
1163 -30975 4245422 9794
1168 -48522 4239972 9794
1173 -37689 4238220 9794
1178 -296325 4234911 9794
1184 -31738 4226542 9794
1189 -52185 4232576 9794
1194 -46844 4228683 9794
1199 -47760 4245422 9794
1204 -221252 4233938 9794
1209 -83618 4232186 9794
1214 -84533 4230240 9794
1219 -92773 4232186 9790
1224 -50354 4244449 9790
1229 -179901 4225958 9790
1234 -30365 4227515 9790
1239 -80719 4227904 9790
1244 -37841 4223233 9790
1249 -83007 4222065 9790
1255 -81329 4237052 9790
1260 -67291 4236079 9790
1265 -37384 4223622 9790
1270 -40588 4238415 9790
1275 -31585 4239388 9790
1280 -35858 4243865 9790
1285 -60272 4226153 9787
1290 -62255 4244838 9787
1295 -39367 4238609 9787
1300 -36468 4241918 9787
1305 -77209 4219535 9787
1310 -36773 4242308 9787
