# idle-ab Tue Aug 25 12:05:35 CEST 2026 os=ut window=1800s
# kernel=4.9.218-perf-ubuntutouch+ #1 SMP PREEMPT Wed Jul 1 23:32:52 CEST 2026
# asking for the panel off, then waiting up to 240s for the hardware to say it is
# panel: bl_power='' dpms='' brightness='' waited=0s blanked: /sys/class/graphics/fb0/blank /sys/class/graphics/fb1/blank
# on battery: v=4315686
# t_s current_uA voltage_uV cc_soc
0 -62866 4302450 10022
5 -32196 4321719 10022
10 -64239 4300893 10022
15 -73089 4296222 10022
20 -88958 4311793 10022
25 -29907 4284155 10022
30 -30822 4302840 10022
36 -83313 4310431 10022
41 -34942 4302256 10022
46 -87890 4308484 10022
51 -62866 4305370 10022
56 -188293 4247173 10022
61 -81481 4293886 10022
66 -113372 4295833 10022
71 -220184 4285322 10022
76 -57525 4302061 10022
81 -30822 4295054 10022
86 -49591 4293886 10022
91 -40893 4307511 10022
96 -31890 4289994 10018
101 -31127 4309457 10018
106 -30365 4289604 10018
111 -30517 4308679 10018
116 -161743 4301283 10018
121 -70800 4279289 10018
126 -31433 4305370 10018
131 -32806 4284349 10018
136 -91705 4289410 10018
141 -77819 4282208 10018
146 -46386 4288242 10018
152 -48065 4299336 10018
157 -94146 4299920 10018
162 -58441 4238415 10014
167 -71868 4280067 10014
172 -30822 4290578 10014
177 -32043 4301866 10014
182 -251922 4234717 10014
187 -73394 4269557 10014
192 -41809 4289410 10014
197 -66375 4273255 10014
202 -202636 4265275 10014
207 -36163 4296027 10014
212 -30975 4280846 10014
217 -41809 4281624 10014
222 -31433 4299336 10014
227 -54626 4293497 10010
232 -59509 4285906 10010
237 -39978 4298947 10010
242 -198364 4236079 10010
247 -74462 4217589 10010
252 -43029 4291745 10010
257 -37994 4296611 10010
262 -30517 4282792 10010
267 -103759 4294081 10010
272 -34790 4297779 10010
278 -35553 4279483 10010
283 -37231 4296417 10010
288 -124816 4274228 10006
293 -45166 4292329 10006
298 -35095 4286490 10006
303 -39520 4261577 10006
308 -59661 4282987 10006
313 -61340 4273644 10006
318 -31433 4293886 10006
323 -39825 4262550 10006
328 -39825 4266053 10006
333 -119171 4275980 10006
338 -85449 4278121 10006
343 -48370 4285906 10006
348 -34332 4292913 10006
353 -93231 4284544 10002
358 -50048 4293692 10002
363 -87127 4276953 10002
368 -248871 4243670 10002
373 -67596 4278705 10002
378 -31738 4274033 10002
383 -31433 4292329 10002
389 -73089 4263912 10002
394 -50811 4261966 10002
399 -69427 4255932 10002
404 -97808 4272476 10002
409 -51879 4289994 10002
414 -33721 4272476 10002
419 -45166 4282792 9998
424 -97045 4281624 9998
429 -208282 4237636 9998
434 -70495 4274812 9998
439 -74005 4259630 9998
444 -31433 4286879 9998
449 -49285 4284933 9998
454 -47302 4288826 9998
459 -39215 4277537 9998
464 -69427 4275007 9998
469 -135498 4237442 9998
474 -39672 4273839 9998
479 -46844 4286296 9994
484 -32653 4275007 9994
489 -154876 4260020 9994
494 -98877 4275396 9994
500 -36926 4258657 9994
505 -45166 4270335 9994
510 -69732 4277926 9994
515 -82550 4264496 9994
520 -97351 4266637 9994
525 -65765 4275007 9994
530 -90942 4265664 9994
535 -78277 4269751 9994
540 -77362 4272087 9994
545 -38604 4264691 9989
550 -160369 4268778 9989
555 -206298 4211166 9989
560 -63934 4259241 9989
565 -52032 4276758 9989
570 -93689 4281430 9989
575 -78125 4251455 9989
580 -57067 4278121 9989
585 -35095 4284544 9989
590 -46081 4268389 9989
595 -97351 4274423 9989
600 -30670 4275396 9989
605 -30670 4282208 9989
611 -40283 4270335 9985
616 -257110 4200266 9985
621 -175323 4268973 9985
626 -31433 4286296 9985
631 -74310 4262744 9985
636 -43182 4283765 9985
641 -31890 4260020 9985
646 -77514 4264691 9985
651 -51116 4277731 9985
656 -30517 4262939 9985
661 -95825 4275590 9985
666 -234832 4270530 9985
671 -30975 4285128 9981
676 -188446 4237247 9981
681 -75378 4265859 9981
686 -31127 4265469 9981
691 -61340 4264496 9981
696 -30365 4285128 9981
701 -31280 4258073 9981
706 -71716 4276953 9981
712 -63781 4273839 9981
717 -37689 4283571 9981
722 -30059 4256127 9981
727 -71411 4262161 9981
732 -31280 4282792 9981
737 -47302 4268000 9977
742 -166931 4241529 9977
747 -79345 4261771 9977
752 -52795 4261577 9977
757 -47760 4273449 9977
762 -37231 4260993 9977
767 -30670 4282987 9977
772 -31127 4260020 9977
777 -75988 4264302 9977
782 -34790 4283376 9977
787 -30670 4277342 9977
792 -55084 4282208 9977
797 -68359 4269362 9977
802 -221405 4219924 9973
807 -209808 4207078 9973
812 -52642 4266832 9973
818 -31890 4250872 9973
823 -63018 4272671 9973
828 -104370 4258852 9973
833 -86059 4251066 9973
838 -31585 4280262 9973
843 -30670 4262550 9973
848 -29907 4278510 9973
853 -58746 4259630 9973
858 -34332 4264496 9973
863 -209655 4235495 9973
868 -85296 4250677 9969
873 -44097 4256321 9969
878 -50811 4272282 9969
883 -35553 4275396 9969
888 -31127 4258657 9969
893 -71716 4261771 9969
898 -36773 4268194 9969
903 -42266 4279289 9969
908 -31890 4274812 9969
913 -37994 4274423 9969
919 -46081 4272866 9969
924 -31280 4253791 9969
929 -139007 4237831 9964
934 -92163 4262161 9964
939 -48522 4268194 9964
944 -71411 4258073 9964
949 -31127 4260020 9964
954 -34637 4269751 9964
959 -73242 4237052 9964
964 -30822 4244449 9964
969 -117492 4270141 9964
974 -114593 4258657 9964
979 -47302 4265859 9964
984 -113067 4259241 9964
989 -136566 4239388 9964
994 -73242 4265275 9960
999 -31127 4231019 9960
1004 -48217 4273449 9960
1009 -36621 4208441 9960
1014 -54321 4277926 9960
1019 -35095 4277731 9960
1024 -40130 4258657 9960
1030 -191650 4228099 9960
1035 -77056 4245422 9960
1040 -93841 4260603 9960
1045 -55542 4267026 9960
1050 -226440 4235301 9960
1055 -83465 4247757 9960
1060 -36926 4257100 9956
1065 -59661 4267221 9956
1070 -30670 4256711 9956
1075 -148010 4233549 9956
1080 -42572 4249704 9956
1085 -74615 4264691 9956
1090 -30975 4259825 9956
1095 -41198 4268194 9956
1100 -30822 4219924 9956
1105 -30670 4277342 9956
1110 -41961 4271503 9956
1115 -215912 4225569 9956
1120 -107421 4223622 9951
1125 -141754 4250093 9951
1131 -118560 4262161 9951
1136 -77667 4254570 9951
1141 -53405 4270530 9951
1146 -75988 4264496 9951
1151 -35858 4257879 9951
1156 -48217 4266248 9951
1161 -34637 4273449 9951
1166 -68359 4266053 9951
1171 -90942 4258073 9951
1176 -153350 4223233 9951
1181 -81176 4249704 9951
1186 -113983 4244838 9947
1191 -30822 4202991 9947
1196 -45776 4266832 9947
1201 -30670 4253791 9947
1206 -34942 4273644 9947
1211 -106201 4270141 9947
1216 -62561 4268389 9947
1222 -52490 4264691 9947
1227 -51422 4266443 9947
1232 -31127 4273449 9947
1237 -170440 4172433 9947
1242 -108184 4242502 9947
1247 -64544 4270725 9947
1252 -66375 4250872 9943
1257 -116424 4257684 9943
1262 -59661 4248341 9943
1267 -38604 4250288 9943
1272 -95520 4263523 9943
1277 -74462 4253013 9943
1282 -68664 4264107 9943
1287 -71868 4272087 9943
1292 -82092 4246979 9943
1297 -36621 4269362 9943
1302 -76751 4235495 9943
1307 -50811 4254180 9943
1312 -38452 4263134 9939
1317 -33874 4269557 9939
1322 -40893 4261771 9939
1328 -105590 4245227 9939
1333 -31433 4255154 9939
1338 -67901 4264691 9939
1343 -34637 4269946 9939
1348 -62561 4254959 9939
1353 -40893 4270725 9939
1358 -37231 4252623 9939
1363 -150299 4224596 9939
1368 -125122 4238999 9939
1373 -155029 4202407 9939
1378 -45623 4268389 9935
1383 -36315 4264107 9935
1388 -52490 4252623 9935
1393 -31585 4249314 9935
1398 -39978 4264302 9935
1403 -31433 4233354 9935
1408 -30822 4272282 9935
1413 -112304 4253596 9935
1418 -72937 4235690 9935
1423 -231781 4206300 9935
1429 -142364 4250093 9935
1434 -39215 4258268 9935
1439 -32959 4201045 9935
1444 -53405 4262744 9931
1449 -30975 4248731 9931
1454 -45776 4260993 9931
1459 -164184 4239193 9931
1464 -61035 4257879 9931
1469 -52490 4254764 9931
1474 -48522 4267221 9931
1479 -39062 4268389 9931
1484 -56152 4225763 9931
1489 -80108 4241918 9931
1494 -31585 4246590 9931
1499 -42877 4261966 9931
1504 -143737 4251261 9926
1509 -45318 4256711 9926
1514 -44708 4268584 9926
1519 -64239 4260993 9926
1524 -34484 4267805 9926
1529 -30059 4251066 9926
1535 -42572 4253791 9926
1540 -44097 4268778 9926
1545 -30975 4248925 9926
1550 -106811 4238999 9926
1555 -64849 4237831 9926
1560 -176391 4236468 9926
1565 -32348 4265859 9926
1570 -67596 4254764 9922
1575 -48065 4260214 9922
1580 -33416 4241334 9922
1585 -72326 4260020 9922
1590 -236053 4259630 9922
1595 -31585 4246784 9922
1600 -57678 4253207 9922
1605 -93383 4250288 9922
1610 -220489 4197541 9922
1615 -195007 4247173 9922
1620 -31585 4252623 9922
1625 -50964 4264107 9922
1630 -70648 4246784 9922
1636 -58898 4260409 9918
1641 -35095 4247563 9918
1646 -48675 4261382 9918
1651 -42419 4266637 9918
1656 -53863 4246979 9918
1661 -102691 4246200 9918
1666 -79193 4255154 9918
1671 -31127 4259436 9918
1676 -83160 4242308 9918
1681 -63781 4256516 9918
1686 -94604 4254180 9918
1691 -30822 4266832 9918
1696 -61645 4248341 9914
1701 -82855 4257489 9914
1706 -74462 4226347 9914
1711 -181884 4204548 9914
1716 -125274 4236858 9914
1721 -92010 4246590 9914
1727 -61187 4263523 9914
1732 -106048 4247173 9914
1737 -136871 4224401 9914
1742 -71868 4231408 9914
1747 -67749 4233160 9914
1752 -45623 4258657 9914
1757 -41961 4244449 9914
1762 -49591 4257295 9910
1767 -30822 4244254 9910
1772 -124816 4239777 9910
1777 -55999 4264107 9910
1782 -68512 4247563 9910
1787 -90332 4247757 9910
1792 -59509 4247173 9910
1797 -175018 4206689 9910
# WINDOW=1802s v 4307511 -> 4253986
# cc_soc 10022 -> 9910 d=112 full_uAh=3060000
# integrated mA = (d/10000)*full_uAh/1000 * 3600/W  -- compute offline
# DONE Tue Aug 25 12:35:57 CEST 2026
# output: /tmp/idle-ab-1787652335.txt
# restored: input=0 status=Not charging
