# idle-ab Tue Aug 25 12:38:31 CEST 2026 os=ut window=1800s
# kernel=4.9.218-perf-ubuntutouch+ #1 SMP PREEMPT Wed Jul 1 23:32:52 CEST 2026
# asking for the panel off, then waiting up to 240s for the hardware to say it is
# panel: bl_power='' dpms='' brightness='' waited=0s blanked: /sys/class/graphics/fb0/blank /sys/class/graphics/fb1/blank
# on battery: v=4307900
# t_s current_uA voltage_uV cc_soc
0 -64086 4307900 9941
6 -98266 4298558 9941
11 -58136 4299920 9941
16 -31433 4295443 9941
21 -59356 4287269 9941
26 -30670 4304786 9941
31 -59356 4296806 9941
36 -51879 4299920 9941
41 -35400 4270725 9938
46 -174102 4249898 9938
51 -78125 4267610 9938
56 -45776 4286296 9938
61 -50506 4291940 9938
66 -135345 4257684 9938
71 -65307 4282403 9938
76 -39215 4267610 9938
81 -36926 4291356 9938
86 -42114 4273644 9938
91 -167846 4282208 9938
96 -47760 4265275 9938
101 -40740 4270725 9938
106 -30670 4289410 9934
112 -141601 4259046 9934
117 -91705 4253596 9934
122 -31280 4264691 9934
127 -113830 4266637 9934
132 -102233 4273449 9934
137 -171661 4278315 9934
142 -55236 4267026 9934
147 -48675 4276564 9934
152 -30670 4272087 9934
157 -31280 4267026 9934
162 -30059 4285517 9934
167 -52490 4251845 9934
172 -262909 4213112 9930
177 -200958 4259436 9930
182 -54016 4254764 9930
187 -54931 4262355 9930
192 -74768 4269557 9930
197 -64086 4273839 9930
202 -40740 4280651 9930
207 -39215 4258073 9930
212 -30670 4279872 9930
217 -31433 4261382 9930
223 -30212 4280067 9930
228 -36621 4262550 9930
233 -193786 4215253 9926
238 -67138 4250093 9926
243 -37689 4251650 9926
248 -56304 4276564 9926
253 -36621 4256516 9926
258 -45623 4259241 9926
263 -98571 4231603 9926
268 -39672 4255543 9926
273 -54779 4270725 9926
278 -30212 4260020 9926
283 -32043 4276174 9926
288 -53863 4243865 9926
293 -115814 4243475 9926
298 -109100 4250482 9921
303 -126190 4251066 9921
308 -102233 4240167 9921
313 -72326 4257100 9921
318 -65002 4260798 9921
323 -37231 4254375 9921
329 -132904 4268973 9921
334 -58593 4248536 9921
339 -58288 4268973 9921
344 -60424 4266443 9921
349 -48675 4254959 9921
354 -36468 4272671 9921
359 -236358 4218951 9921
364 -88043 4256127 9917
369 -69274 4263912 9917
374 -94757 4246784 9917
379 -43792 4273255 9917
384 -31890 4258657 9917
389 -39062 4265469 9917
394 -81329 4263718 9917
399 -36621 4273839 9917
404 -31127 4250482 9917
409 -58136 4265275 9917
414 -93231 4255932 9917
419 -173492 4226931 9917
424 -70648 4244838 9913
429 -50506 4262355 9913
435 -50964 4240556 9913
440 -109710 4215642 9913
445 -75378 4239193 9913
450 -88195 4265469 9913
455 -117340 4242502 9913
460 -131073 4247368 9913
465 -58288 4269751 9913
470 -73547 4250288 9913
475 -32806 4263523 9913
480 -43792 4265664 9913
485 -63018 4246979 9913
490 -48217 4258462 9909
495 -36621 4241724 9909
500 -76599 4246200 9909
505 -188751 4250288 9909
510 -46234 4252039 9909
515 -32959 4260603 9909
520 -30670 4269946 9909
525 -29754 4251066 9909
531 -144500 4248925 9909
536 -52185 4249314 9909
541 -60730 4252039 9909
546 -153503 4229656 9909
551 -68206 4238220 9909
556 -31738 4264885 9904
561 -63324 4266248 9904
566 -70648 4260020 9904
571 -121460 4256516 9904
576 -30975 4246784 9904
581 -47607 4267805 9904
586 -40588 4239388 9904
591 -30975 4267026 9904
596 -73547 4209025 9904
601 -117187 4233354 9904
606 -269622 4199293 9904
611 -132598 4235495 9904
616 -30975 4266443 9904
621 -37536 4249314 9900
626 -82092 4249314 9900
631 -37689 4246395 9900
636 -124359 4257879 9900
642 -159454 4210971 9900
647 -76446 4249898 9900
652 -40435 4245811 9900
657 -103302 4242113 9900
662 -71868 4263328 9900
667 -79803 4247563 9900
