# idle-ab Tue Aug 25 11:32:50 CEST 2026 os=ut window=1800s
# kernel=4.9.218-perf-ubuntutouch+ #1 SMP PREEMPT Wed Jul 1 23:32:52 CEST 2026
# asking for the panel off, then waiting up to 240s for the hardware to say it is
# panel: bl_power='' dpms='' brightness='' waited=0s blanked: /sys/class/graphics/fb0/blank /sys/class/graphics/fb1/blank
# on battery: v=4354224
# t_s current_uA voltage_uV cc_soc
0 -66528 4336317 10089
5 -46386 4348969 10089
10 -69580 4348385 10091
15 -85144 4344881 10091
20 -31280 4353640 10091
25 -44250 4332424 10091
30 -35858 4350331 10091
35 -58746 4343324 10091
40 -45776 4331646 10091
46 -51269 4335733 10091
51 -31127 4330673 10091
56 -30822 4346438 10091
61 -55389 4327948 10091
66 -47149 4342740 10091
71 -33874 4344881 10091
76 -53558 4332814 10088
81 -40435 4324055 10088
86 -46539 4337290 10088
91 -30670 4341767 10088
96 -50811 4333787 10088
101 -35095 4319384 10088
106 -63476 4322887 10088
111 -72784 4321525 10088
116 -120391 4323471 10088
121 -30517 4340599 10088
126 -44097 4318995 10088
131 -50201 4338069 10088
137 -36621 4322303 10088
142 -232696 4281819 10085
147 -31433 4327559 10085
152 -61950 4332035 10085
157 -72021 4323277 10085
162 -57678 4312377 10085
167 -147400 4323471 10085
172 -30822 4325807 10085
177 -45623 4332424 10085
182 -30975 4330089 10085
187 -34942 4333982 10085
192 -46539 4328142 10085
197 -41503 4318995 10085
202 -34332 4332814 10082
207 -42572 4317437 10082
212 -61950 4326391 10082
218 -44250 4326196 10082
223 -37078 4275396 10082
228 -52948 4312961 10082
233 -46691 4326585 10082
238 -36621 4324834 10082
243 -37078 4317827 10082
248 -84686 4296417 10082
253 -37994 4321914 10082
258 -46844 4327364 10082
263 -33111 4321525 10082
268 -30365 4312182 10079
273 -138549 4280651 10079
278 -29602 4322887 10079
283 -36773 4311209 10079
288 -64086 4311793 10079
293 -34027 4316659 10079
299 -134277 4286879 10079
304 -35553 4319578 10079
309 -73242 4282014 10079
314 -47454 4320162 10079
319 -39215 4306732 10079
324 -123596 4274033 10079
329 -44097 4322693 10079
334 -30670 4319384 10075
339 -37689 4320357 10075
344 -35553 4326585 10075
349 -50811 4319578 10075
354 -37078 4307316 10075
359 -30212 4326585 10075
364 -31585 4316659 10075
370 -52490 4317243 10075
375 -58441 4304397 10075
380 -109558 4321330 10075
385 -47607 4310625 10075
390 -89263 4298947 10075
395 -111999 4302840 10072
400 -103454 4312766 10072
405 -42724 4267416 10072
410 -35705 4324250 10072
415 -30822 4323471 10072
420 -36621 4303618 10072
425 -217132 4305565 10072
430 -37384 4324444 10072
435 -40283 4305954 10072
440 -29754 4322693 10072
445 -41656 4296806 10072
450 -109100 4315880 10072
456 -30517 4314129 10072
461 -30670 4304786 10069
466 -46539 4311988 10069
471 -75531 4300893 10069
476 -85144 4318216 10069
481 -75683 4302450 10069
486 -72174 4303813 10069
491 -64849 4317437 10069
496 -105743 4308484 10069
501 -60577 4318605 10069
506 -39367 4305759 10069
511 -36163 4301866 10069
516 -45318 4312961 10069
521 -240631 4300504 10069
526 -46997 4315296 10066
531 -30822 4309457 10066
536 -29754 4304007 10066
541 -39062 4318411 10066
546 -54016 4293108 10066
552 -59814 4313155 10066
557 -51727 4300504 10066
562 -62408 4307122 10066
567 -79193 4304591 10066
572 -60272 4300504 10066
577 -64392 4317048 10066
582 -48217 4303618 10066
587 -38147 4315102 10062
592 -194702 4264496 10062
597 -47302 4312766 10062
602 -43945 4313350 10062
607 -62255 4312182 10062
612 -31738 4309652 10062
617 -232391 4264496 10062
622 -37384 4299336 10062
627 -30822 4317827 10062
632 -30670 4304202 10062
637 -35858 4313739 10062
643 -46081 4260993 10062
648 -83160 4303813 10062
653 -50354 4310431 10059
658 -53253 4304007 10059
663 -48522 4303034 10059
668 -62713 4295249 10059
673 -94757 4303618 10059
678 -32348 4289410 10059
683 -37841 4314713 10059
688 -87585 4303813 10059
693 -37536 4298558 10059
698 -46539 4309263 10059
703 -57983 4309263 10059
708 -56304 4311988 10059
713 -46234 4249898 10059
718 -56152 4314518 10056
723 -42114 4295443 10056
728 -47607 4311598 10056
734 -103759 4307706 10056
739 -30822 4314713 10056
744 -31280 4303229 10056
749 -45928 4313545 10056
754 -59509 4293497 10056
759 -129547 4258462 10056
764 -67138 4301283 10056
769 -55084 4307122 10056
774 -36773 4305175 10056
779 -30517 4312572 10053
784 -30975 4291356 10053
789 -51269 4311598 10053
794 -78277 4289604 10053
799 -48980 4304397 10053
804 -112915 4293108 10053
809 -66223 4299531 10053
814 -48675 4311209 10053
819 -31585 4293692 10053
824 -65460 4288437 10053
829 -38604 4312766 10053
835 -29907 4291940 10053
840 -45776 4304397 10053
845 -30517 4295249 10049
850 -40893 4250872 10049
855 -57373 4310041 10049
860 -68817 4304591 10049
865 -102081 4282987 10049
870 -89874 4294276 10049
875 -57830 4287853 10049
880 -34637 4307900 10049
885 -30822 4293497 10049
890 -43640 4295638 10049
895 -37536 4308484 10049
900 -36010 4291551 10049
905 -48065 4303813 10049
910 -50201 4303229 10046
915 -43029 4290188 10046
920 -119171 4266053 10046
926 -30517 4302061 10046
931 -56762 4302061 10046
936 -69885 4293692 10046
941 -66528 4283960 10046
946 -79498 4273839 10046
951 -40740 4307900 10046
956 -48980 4300115 10046
961 -31433 4289799 10046
966 -29907 4287658 10046
971 -34027 4305565 10043
976 -52795 4289604 10043
981 -85296 4263718 10043
986 -75073 4292135 10043
991 -36468 4293692 10043
996 -76446 4295249 10043
1001 -39672 4305954 10043
1006 -64086 4298168 10043
1011 -30670 4293692 10043
1016 -36926 4288826 10043
1021 -51879 4304591 10043
1027 -92926 4275590 10043
1032 -124054 4303813 10043
1037 -30975 4297001 10039
1042 -54626 4293302 10039
1047 -198669 4270141 10039
1052 -231475 4291745 10039
1057 -81329 4288242 10039
1062 -47149 4303618 10039
1067 -39062 4292524 10039
1072 -31280 4303229 10039
1077 -30822 4296222 10039
1082 -30212 4291551 10039
1087 -110473 4293108 10039
1092 -79498 4296027 10039
1097 -255890 4288437 10039
1102 -56457 4289215 10036
1107 -46997 4305565 10036
1112 -185699 4246590 10036
1117 -115051 4283181 10036
1122 -63934 4302256 10036
1127 -60119 4289604 10036
1132 -30822 4287853 10036
1137 -51269 4300115 10036
1143 -30822 4238220 10036
1148 -68054 4304202 10036
1153 -45776 4283181 10036
1158 -68359 4302840 10036
1163 -134277 4293497 10036
1168 -84533 4285128 10033
1173 -89569 4286296 10033
1178 -188751 4260798 10033
1183 -31280 4265080 10033
1188 -36926 4303424 10033
1193 -60119 4287463 10033
1198 -68359 4285712 10033
1203 -63476 4296027 10033
1208 -44860 4292913 10033
1213 -43945 4301866 10033
1218 -30670 4284349 10033
1223 -122528 4281235 10033
1228 -30975 4304007 10029
1233 -41351 4279678 10029
1238 -31585 4283960 10029
1243 -49133 4289604 10029
1248 -31127 4294470 10029
1253 -39672 4296417 10029
1259 -33416 4282014 10029
1264 -30975 4303034 10029
1269 -151214 4288047 10029
1274 -64392 4303034 10029
1279 -61645 4301088 10029
1284 -71258 4281235 10029
1289 -88501 4298558 10029
1294 -103759 4281235 10026
1299 -48980 4283376 10026
1304 -30517 4302645 10026
1309 -41503 4275201 10026
1314 -155029 4281430 10026
1319 -31738 4293692 10026
1324 -62866 4292524 10026
1329 -75225 4277926 10026
1334 -31127 4300115 10026
1339 -31127 4275007 10026
1344 -33264 4283765 10026
1349 -46386 4294276 10026
1354 -70343 4281040 10026
1359 -54931 4281235 10023
1364 -35553 4300699 10023
1370 -37994 4286101 10023
1375 -31127 4276953 10023
1380 -133209 4293692 10023
1385 -57678 4285712 10023
1390 -51727 4298947 10023
1395 -60119 4275007 10023
1400 -41961 4298168 10023
1405 -31127 4282987 10023
1410 -51574 4277926 10023
1415 -31433 4299920 10023
1420 -30517 4288047 10020
1425 -79498 4297584 10020
1430 -30822 4294665 10020
1435 -93841 4281040 10020
1440 -45318 4268584 10020
1445 -141296 4278705 10020
1450 -36315 4292913 10020
1455 -69427 4290578 10020
1460 -58288 4279289 10020
1465 -45776 4292135 10020
1471 -30670 4275396 10020
1476 -61492 4289604 10020
1481 -74005 4286490 10020
1486 -55847 4271503 10016
1491 -67749 4270919 10016
1496 -31280 4295054 10016
1501 -60577 4277926 10016
1506 -37841 4290188 10016
1511 -31280 4280846 10016
1516 -48980 4275785 10016
1521 -41351 4297001 10016
1526 -31127 4279678 10016
1531 -30975 4296027 10016
1536 -29754 4278899 10016
1541 -65307 4280651 10016
1546 -61340 4278510 10016
1551 -44860 4265275 10013
1556 -30975 4296611 10013
1561 -81481 4267416 10013
1566 -64849 4281040 10013
1571 -31585 4294276 10013
1576 -33569 4274228 10013
1581 -29907 4270335 10013
1587 -31585 4297001 10013
1592 -30365 4258462 10013
1597 -31738 4273839 10013
1602 -130462 4273839 10013
1607 -80871 4278899 10013
1612 -51422 4290188 10009
1617 -36621 4294665 10009
1622 -127868 4278705 10009
1627 -43487 4284349 10009
1632 -30212 4296222 10009
1637 -32043 4266248 10009
1642 -104522 4277148 10009
1647 -107421 4290188 10009
1652 -101318 4279289 10009
1657 -64392 4276174 10009
1662 -34790 4292329 10009
1667 -41351 4220314 10009
1672 -37536 4288826 10009
1677 -38757 4274033 10006
1682 -45776 4281040 10006
1687 -228119 4245811 10006
1692 -31280 4278121 10006
1697 -33874 4292329 10006
1702 -38452 4273449 10006
1708 -46539 4284933 10006
1713 -43792 4288047 10006
1718 -96740 4278899 10006
1723 -56304 4283765 10006
1728 -42572 4270335 10006
1733 -189056 4282792 10006
1738 -57220 4284738 10006
1743 -73852 4273449 10003
1748 -30212 4291356 10003
1753 -96893 4275201 10003
1758 -67443 4279872 10003
1763 -36010 4292913 10003
1768 -31433 4269557 10003
1773 -51727 4276174 10003
1778 -30975 4292524 10003
1783 -31127 4277148 10003
1788 -30365 4291940 10003
1793 -37078 4268000 10003
1798 -30975 4260993 10003
# WINDOW=1803s v 4354224 -> 4292719
# cc_soc 10089 -> 10003 d=86 full_uAh=3060000
# integrated mA = (d/10000)*full_uAh/1000 * 3600/W  -- compute offline
# DONE Tue Aug 25 12:03:13 CEST 2026
# output: /tmp/idle-ab-1787650370.txt
# restored: input=0 status=Charging
