# t_s cur_mA v_mV busy_pct pc_res_pct wfi_per_s pc_per_s f0_kHz f4_kHz wlan_pps
2 206 4271 4 90 166 700 1420800 633600 2
4 52 4314 1 103 48 258 614400 1228800 0
6 193 4280 1 103 58 387 1420800 633600 10
8 62 4289 1 97 60 276 1228800 1228800 3
10 339 4254 1 97 65 286 844800 1228800 0
12 279 4236 1 103 55 439 1420800 1228800 0
14 66 4294 1 105 67 436 1228800 633600 1
16 81 4295 1 95 85 355 614400 1228800 1
18 97 4281 1 104 63 339 1420800 633600 0
20 62 4295 3 100 126 722 1036800 633600 9
22 61 4296 1 97 77 448 614400 1228800 3
24 181 4278 1 98 48 349 1420800 1228800 1
26 159 4271 1 100 78 480 1420800 1228800 5
28 185 4257 1 97 73 354 844800 1228800 0
30 61 4289 2 97 109 679 1420800 1228800 1
32 222 4242 1 103 60 268 844800 633600 0
34 189 4257 2 103 68 529 1612800 844800 11
36 109 4268 1 98 85 320 1228800 1228800 3
38 53 4283 1 99 59 297 844800 633600 1
40 65 4279 1 101 75 505 1420800 633600 3
42 174 4246 1 103 67 397 1420800 1228800 19
44 95 4271 1 100 90 477 614400 1228800 0
46 88 4276 2 98 77 459 614400 1804800 2
48 151 4253 1 100 62 410 1420800 1228800 8
50 238 4257 1 102 58 390 844800 1228800 5
52 169 4247 1 104 44 291 1420800 1228800 5
54 53 4276 1 97 85 540 1420800 633600 24
56 64 4277 1 100 81 315 614400 1228800 3
58 54 4268 1 100 86 494 614400 1228800 1
60 52 4279 1 104 55 453 614400 1228800 1
62 144 4248 1 104 50 272 1420800 1228800 4
64 63 4275 2 96 114 647 1420800 1228800 5
66 195 4246 1 92 54 343 614400 1228800 3
68 149 4245 2 109 84 484 614400 1228800 3
70 94 4267 1 103 50 290 614400 1228800 1
72 305 4228 1 103 70 422 1420800 1228800 1
74 102 4258 1 96 88 404 844800 1228800 1
76 105 4256 1 104 78 306 1420800 633600 1
78 153 4239 2 100 91 569 1420800 633600 0
80 53 4268 1 91 63 334 844800 1228800 5
82 53 4269 2 105 72 515 1420800 1228800 19
84 63 4262 1 98 83 398 844800 1228800 2
86 53 4269 1 101 84 475 1228800 1228800 2
88 213 4231 1 97 78 437 614400 1228800 1
90 145 4250 1 97 63 380 844800 633600 3
92 53 4266 1 108 76 467 1420800 633600 6
94 94 4236 2 99 68 462 614400 1228800 3
96 95 4255 1 102 76 552 844800 844800 1
98 279 4232 1 96 75 439 614400 844800 5
100 175 4234 1 98 48 322 844800 633600 0
102 54 4259 1 104 77 539 614400 633600 1
104 53 4260 1 103 55 296 1228800 1228800 4
106 110 4245 4 93 158 794 1420800 633600 5
108 204 4223 1 98 78 541 1420800 1228800 3
110 163 4218 1 103 40 310 1420800 1228800 0
112 161 4244 2 98 108 628 1420800 1228800 4
114 76 4243 1 98 75 429 1420800 1228800 2
116 196 4232 1 102 66 466 614400 1228800 1
118 170 4230 1 95 49 263 1420800 1228800 1
120 195 4224 1 110 78 570 844800 1228800 0
122 127 4243 2 94 104 484 844800 1228800 3
