# t_s cur_mA v_mV APSS_sd APSS_xosd APSS_xopct APSS_cores LPASS_sd LPASS_xosd LPASS_xopct LPASS_cores MPSS_sd MPSS_xosd MPSS_xopct MPSS_cores PRONTO_sd PRONTO_xosd PRONTO_xopct PRONTO_cores
2 232 4304 22 0 0 0x1 0 0 0 0x0 4 4 52 0x0 7 7 18 0x1 
4 63 4327 17 0 0 0x1 0 0 0 0x0 3 3 36 0x0 9 9 19 0x0 
6 129 4319 35 0 0 0x1 0 0 0 0x0 7 7 92 0x0 20 20 86 0x0 
8 195 4322 25 0 0 0x1 0 0 0 0x0 2 2 27 0x0 20 20 87 0x0 
10 52 4335 22 0 0 0x1 0 0 0 0x0 3 3 35 0x0 21 21 84 0x0 
12 62 4334 33 0 0 0x1 0 0 0 0x0 7 7 97 0x0 20 20 82 0x0 
14 189 4291 14 0 0 0x1 0 0 0 0x0 4 4 70 0x1 19 19 79 0x1 
16 149 4317 34 0 0 0x1 0 0 0 0x0 5 5 52 0x0 14 14 44 0x0 
18 53 4329 31 0 0 0x1 0 0 0 0x0 5 5 61 0x0 20 20 85 0x0 
20 158 4301 34 0 0 0x1 0 0 0 0x0 2 2 40 0x1 13 13 50 0x0 
22 52 4332 16 0 0 0x1 0 0 0 0x0 7 7 72 0x0 20 20 80 0x0 
24 53 4326 22 0 0 0x1 0 0 0 0x0 7 7 98 0x0 20 19 87 0x0 
26 233 4288 18 0 0 0x1 0 0 0 0x0 0 0 14 0x1 19 20 84 0x1 
28 59 4324 29 0 0 0x1 0 0 0 0x0 6 6 76 0x1 21 21 80 0x0 
30 230 4292 29 0 0 0x1 0 0 0 0x0 5 5 67 0x1 20 20 86 0x0 
32 80 4319 21 0 0 0x1 0 0 0 0x0 4 4 40 0x0 20 20 86 0x0 
34 153 4312 24 0 0 0x1 0 0 0 0x0 6 6 93 0x1 14 14 59 0x1 
36 203 4282 27 0 0 0x1 0 0 0 0x0 4 4 39 0x0 8 8 18 0x0 
38 67 4310 29 0 0 0x1 0 0 0 0x0 6 6 78 0x0 9 9 20 0x0 
40 52 4325 33 0 0 0x1 0 0 0 0x0 7 7 93 0x0 19 19 85 0x1 
42 123 4310 20 0 0 0x1 0 0 0 0x0 3 3 40 0x0 20 20 81 0x0 
44 53 4324 20 0 0 0x1 0 0 0 0x0 6 6 80 0x0 21 21 84 0x0 
46 199 4298 25 0 0 0x1 0 0 0 0x0 5 5 84 0x1 20 20 87 0x0 
