# t_s cur_mA v_mV APSS_sd APSS_xosd APSS_xopct APSS_cores LPASS_sd LPASS_xosd LPASS_xopct LPASS_cores MPSS_sd MPSS_xosd MPSS_xopct MPSS_cores PRONTO_sd PRONTO_xosd PRONTO_xopct PRONTO_cores
2 0 4351 17 0 0 0x1 0 0 0 0x0 6 6 83 0x0 19 19 84 0x1 
4 0 4351 31 0 0 0x1 0 0 0 0x0 4 4 66 0x1 20 20 80 0x0 
6 0 4351 33 0 0 0x1 0 0 0 0x0 4 4 40 0x0 12 12 46 0x1 
8 0 4351 26 0 0 0x1 0 0 0 0x0 6 6 84 0x0 8 8 15 0x1 
10 0 4351 23 0 0 0x1 0 0 0 0x0 4 4 68 0x1 10 10 26 0x0 
12 211 4298 32 0 0 0x1 0 0 0 0x0 6 6 65 0x0 21 21 85 0x0 
14 52 4324 26 0 0 0x1 0 0 0 0x0 4 4 51 0x0 19 19 82 0x0 
16 263 4272 22 0 0 0x1 0 0 0 0x0 3 3 52 0x1 20 20 84 0x0 
18 53 4323 27 0 0 0x1 0 0 0 0x0 7 7 80 0x0 20 20 84 0x0 
20 52 4322 17 0 0 0x1 0 0 0 0x0 6 6 79 0x0 20 20 85 0x0 
22 53 4320 42 0 0 0x1 0 0 0 0x0 4 4 51 0x0 20 20 86 0x0 
24 52 4320 31 0 0 0x1 0 0 0 0x0 4 4 47 0x0 20 20 81 0x0 
26 161 4285 24 0 0 0x1 0 0 0 0x0 4 4 67 0x1 19 19 86 0x1 
28 63 4318 23 0 0 0x1 0 0 0 0x0 6 6 60 0x0 20 20 84 0x0 
30 115 4311 17 0 0 0x1 0 0 0 0x0 6 6 80 0x0 21 21 81 0x0 
32 151 4296 22 0 0 0x1 0 0 0 0x0 3 3 52 0x1 20 20 82 0x0 
34 83 4310 6 0 0 0x1 0 0 0 0x0 5 5 43 0x0 20 19 84 0x0 
36 52 4321 16 0 0 0x1 0 0 0 0x0 6 6 81 0x0 19 20 85 0x1 
38 53 4318 30 0 0 0x1 0 0 0 0x0 3 3 40 0x0 20 20 81 0x0 
40 135 4304 25 0 0 0x1 0 0 0 0x0 7 7 97 0x0 12 12 43 0x1 
42 254 4270 21 0 0 0x1 0 0 0 0x0 4 4 70 0x1 8 8 18 0x1 
44 155 4280 12 0 0 0x1 0 0 0 0x0 3 3 37 0x1 12 12 45 0x0 
46 52 4317 21 0 0 0x1 0 0 0 0x0 7 7 84 0x0 20 20 85 0x0 
48 53 4304 34 0 0 0x1 0 0 0 0x0 3 3 40 0x0 20 20 85 0x0 
50 100 4310 27 0 0 0x1 0 0 0 0x0 6 6 91 0x1 19 19 81 0x1 
52 95 4313 13 0 0 0x1 0 0 0 0x0 7 7 80 0x0 20 20 79 0x0 
54 154 4283 21 0 0 0x1 0 0 0 0x0 1 1 13 0x0 21 21 85 0x0 
56 63 4312 5 0 0 0x1 0 0 0 0x0 6 6 90 0x1 20 20 86 0x0 
58 206 4277 26 0 0 0x1 0 0 0 0x0 5 5 66 0x1 20 20 87 0x0 
