# t_s cur_mA v_mV busy_pct pc_res_pct wfi_per_s pc_per_s f0_kHz f4_kHz wlan_pps
2 76 4280 2 88 122 556 1420800 1228800 0
4 97 4265 1 107 47 371 1228800 1804800 1
6 98 4271 1 102 73 543 614400 1228800 4
8 62 4273 1 95 74 415 844800 1228800 0
10 260 4232 1 104 57 383 1420800 1228800 0
12 53 4272 1 103 36 267 614400 633600 1
14 126 4262 1 98 83 476 614400 1228800 5
16 52 4265 1 105 66 339 1420800 1228800 21
18 61 4264 1 101 77 339 614400 1228800 1
20 297 4214 3 97 167 768 614400 1228800 4
22 176 4243 1 96 90 526 1420800 1228800 0
24 191 4234 1 103 66 343 614400 1228800 1
26 54 4258 1 97 98 462 614400 633600 3
28 53 4260 1 102 65 387 614400 1228800 17
30 150 4237 2 102 102 512 614400 633600 5
32 215 4235 1 103 51 434 614400 1036800 2
34 104 4243 1 101 85 445 614400 1228800 0
36 204 4214 1 93 76 295 1420800 633600 0
38 54 4257 1 103 59 542 1420800 633600 1
40 104 4240 3 98 118 731 1420800 1228800 0
42 161 4221 1 93 89 406 614400 633600 7
44 63 4248 3 95 143 699 1420800 1228800 6
46 178 4217 1 94 68 391 1420800 1228800 0
48 136 4227 1 102 63 386 1228800 1228800 4
50 53 4253 1 96 76 408 844800 633600 2
52 54 4245 1 99 66 414 1420800 633600 1
54 146 4233 1 104 70 432 614400 1228800 1
56 173 4216 1 105 43 300 1420800 1228800 3
58 190 4222 2 102 87 702 844800 1228800 3
60 57 4247 1 97 69 402 1420800 633600 2
62 103 4234 1 105 61 380 1804800 1804800 4
64 82 4241 1 86 115 562 844800 1228800 1
66 305 4187 1 104 63 307 614400 1228800 0
68 135 4221 2 96 97 611 1420800 1228800 0
70 175 4225 1 98 72 429 1420800 1228800 2
72 152 4214 1 106 81 454 614400 1228800 5
74 54 4243 1 103 50 320 614400 633600 23
76 239 4207 1 94 90 497 1420800 844800 7
78 126 4232 4 94 203 859 614400 633600 9
80 112 4239 1 91 59 307 844800 633600 1
82 53 4235 2 99 75 595 1420800 1228800 0
84 63 4238 0 99 52 277 614400 1228800 6
86 53 4243 1 99 73 339 614400 1228800 4
88 106 4228 1 93 96 503 1420800 1228800 2
90 57 4241 1 105 43 303 1420800 633600 0
92 173 4199 1 101 61 472 1420800 633600 3
94 65 4238 1 96 79 473 1228800 844800 0
96 156 4216 2 99 87 539 1420800 1228800 0
98 182 4206 1 100 49 307 614400 633600 2
100 59 4231 1 101 73 522 844800 1228800 0
102 180 4193 2 93 119 671 1420800 1228800 3
104 54 4239 1 102 54 361 844800 1228800 0
106 174 4212 2 101 88 515 1804800 1420800 7
108 63 4230 1 95 66 319 1420800 1228800 21
110 111 4227 1 94 53 418 844800 1228800 1
112 257 4183 3 108 190 840 614400 1228800 6
114 52 4234 1 92 76 378 844800 633600 8
116 55 4236 1 101 68 512 614400 1228800 6
118 106 4219 3 96 165 618 1420800 1228800 1
120 180 4215 1 99 79 406 1420800 633600 2
122 88 4227 1 105 60 415 1420800 1228800 3
124 176 4209 1 98 54 346 1420800 1228800 0
126 66 4235 2 106 101 594 1420800 1228800 2
128 158 4206 1 97 92 373 1228800 633600 6
130 138 4210 2 103 71 470 1612800 633600 4
132 106 4221 2 101 82 482 1036800 1420800 0
134 186 4211 2 94 196 586 1036800 1612800 1
136 174 4209 1 101 72 339 1420800 633600 1
138 153 4203 2 103 71 476 1228800 1228800 1
140 57 4231 1 104 86 438 1420800 1228800 2
142 63 4232 1 100 71 354 1228800 1228800 5
144 53 4229 1 97 99 629 1420800 1228800 2
146 53 4231 1 98 53 312 614400 1228800 0
148 239 4187 1 100 55 243 1228800 844800 5
150 53 4228 1 103 81 508 1228800 1228800 1
152 96 4224 1 98 66 393 614400 1228800 1
154 83 4217 1 91 107 513 614400 1228800 0
156 66 4229 1 108 62 444 1420800 1228800 3
158 53 4178 1 103 61 387 1228800 1228800 5
160 159 4208 1 95 82 311 1420800 1228800 1
162 147 4209 1 99 90 541 614400 1228800 23
164 228 4184 1 95 91 539 614400 633600 0
166 106 4215 2 103 72 427 844800 1228800 0
168 94 4216 1 100 77 530 1036800 1228800 1
170 63 4225 1 97 90 378 1420800 633600 3
172 138 4203 1 94 39 302 614400 633600 5
174 153 4198 1 112 72 534 1420800 1228800 1
176 53 4228 1 99 50 344 844800 633600 5
178 63 4226 1 106 71 430 614400 633600 0
180 63 4223 1 95 91 469 1228800 1228800 1
182 193 4204 1 103 64 405 844800 1228800 2
184 168 4203 1 103 69 440 614400 1228800 7
186 142 4210 1 102 54 334 1420800 1228800 2
188 53 4226 2 99 83 536 1420800 1228800 3
190 183 4199 1 96 51 291 1420800 1228800 5
192 64 4224 2 102 90 667 1420800 1228800 2
194 214 4195 1 93 83 375 614400 1228800 0
196 53 4222 1 106 48 295 614400 1228800 1
198 54 4220 2 96 90 594 1420800 1228800 7
200 201 4182 1 103 43 317 614400 1228800 31
202 63 4221 1 99 95 436 1228800 1228800 1
204 63 4224 1 94 79 427 1228800 1228800 4
206 61 4209 1 103 58 464 1420800 1228800 1
208 105 4223 1 102 48 299 614400 1228800 0
210 207 4187 1 105 49 342 844800 633600 1
212 61 4222 2 97 100 531 844800 1228800 8
214 53 4226 1 96 59 350 614400 1228800 3
216 54 4216 1 100 71 526 1420800 1228800 0
218 53 4220 1 102 53 360 1420800 1228800 2
220 162 4194 1 95 89 367 614400 1228800 20
222 108 4208 1 97 60 599 844800 1228800 1
224 53 4224 1 108 54 309 1420800 1228800 0
226 157 4201 2 97 93 592 1228800 1228800 6
228 100 4210 1 94 51 380 1420800 633600 4
230 234 4183 2 107 84 541 1420800 1228800 20
232 53 4222 1 103 67 384 1420800 1228800 3
234 54 4184 1 103 64 421 1228800 633600 1
236 105 4202 1 87 93 450 1420800 1228800 3
238 97 4215 1 104 59 340 1420800 844800 1
240 53 4223 1 94 94 503 1420800 1228800 24
242 63 4221 0 104 44 244 1420800 1228800 3
244 183 4186 2 106 79 496 614400 633600 5
246 165 4190 1 94 87 405 614400 1228800 2
248 147 4205 1 104 64 310 1420800 633600 5
250 201 4191 1 98 63 427 1420800 1228800 1
252 66 4210 1 101 68 419 614400 633600 0
254 95 4212 1 95 76 519 1420800 633600 4
256 172 4185 1 95 84 318 1420800 633600 5
258 63 4216 1 96 81 426 844800 1228800 23
260 226 4171 2 102 98 443 1420800 633600 0
262 169 4194 1 98 47 294 614400 1228800 4
264 82 4209 2 99 86 566 1612800 633600 1
266 152 4191 1 108 52 298 614400 844800 1
268 101 4212 1 103 82 476 1420800 1228800 1
270 162 4191 1 102 63 373 844800 1228800 3
272 99 4212 1 103 47 292 1420800 1228800 6
274 201 4195 2 97 121 671 1228800 1228800 2
276 163 4188 1 99 95 458 614400 633600 5
278 53 4219 2 89 85 427 1420800 1228800 0
280 53 4212 1 106 85 414 844800 1036800 0
282 54 4215 1 103 54 474 614400 1228800 6
284 58 4219 1 104 48 293 614400 633600 6
286 223 4179 1 95 101 473 844800 1228800 6
288 106 4205 1 101 65 528 1228800 633600 1
290 70 4212 2 99 94 536 1420800 1228800 5
292 63 4213 1 95 87 444 1420800 1228800 0
294 99 4200 1 105 43 387 1420800 633600 1
296 223 4182 1 103 55 365 1420800 844800 3
298 96 4211 1 103 89 469 1420800 1228800 3
300 84 4203 1 95 78 418 844800 1228800 5
302 167 4178 1 101 65 449 1420800 1228800 0
304 94 4210 1 104 61 409 614400 1228800 6
306 53 4219 1 100 87 512 614400 1228800 21
308 54 4213 1 103 53 260 844800 1228800 1
310 63 4211 1 92 86 372 614400 1228800 5
312 258 4170 1 104 108 578 1420800 633600 6
314 54 4194 1 104 64 361 1228800 1228800 4
316 61 4217 1 101 72 439 1420800 633600 1
318 241 4176 2 102 87 518 614400 1228800 5
320 54 4216 1 98 73 371 614400 633600 0
322 149 4188 1 96 90 418 1420800 1228800 1
324 64 4212 1 101 84 393 844800 1228800 0
326 99 4200 2 104 79 481 1420800 633600 7
328 229 4166 1 99 71 410 1420800 1228800 2
330 85 4202 2 98 88 570 844800 633600 0
332 58 4215 1 104 49 298 1228800 1228800 4
334 52 4216 1 98 59 450 1420800 633600 1
336 147 4200 1 105 69 482 1420800 1228800 1
338 162 4177 1 97 77 394 1420800 1228800 0
340 55 4209 1 102 65 405 1420800 1228800 7
342 114 4203 1 103 64 483 614400 1228800 5
344 239 4177 1 96 63 328 1420800 1228800 6
346 134 4196 2 107 109 585 1228800 1228800 5
348 168 4179 2 89 112 514 1420800 1228800 2
350 75 4212 1 104 64 415 1228800 1228800 4
352 62 4212 1 93 61 321 614400 1228800 0
354 93 4205 2 100 101 601 1420800 1228800 8
356 54 4215 1 102 45 322 1420800 1228800 5
358 241 4158 1 99 81 428 1420800 1228800 6
# window_from=2  # samples before this mark saw a lit panel
