# t_s cur_mA v_mV busy_pct pc_res_pct wfi_per_s pc_per_s f0_kHz f4_kHz wlan_pps
2 377 4367 2 94 145 543 614400 1228800 2
4 399 4374 1 100 47 334 1420800 633600 10
6 256 4335 2 99 98 618 844800 1228800 5
8 402 4374 1 100 62 458 1228800 1228800 3
10 294 4362 3 100 131 826 1420800 1228800 5
12 352 4373 2 95 145 709 1420800 1228800 3
14 406 4384 1 102 67 347 1420800 844800 1
16 279 4347 1 98 78 617 614400 1228800 1
18 397 4380 1 103 70 496 844800 1228800 8
20 392 4384 1 96 67 471 844800 1228800 6
22 312 4370 1 102 92 465 614400 633600 3
24 323 4373 1 101 82 501 844800 1228800 5
26 262 4338 1 102 54 383 1420800 1228800 1
28 409 4391 2 90 87 364 1228800 1228800 2
30 52 4251 2 107 86 582 844800 1228800 1
32 105 4238 1 103 70 371 1420800 633600 5
34 53 4242 1 104 55 298 1420800 1228800 5
36 126 4226 1 96 95 404 1420800 1228800 5
38 162 4217 1 89 83 402 1420800 1228800 3
40 141 4221 1 109 74 301 614400 1228800 3
42 53 4228 2 99 101 549 1420800 1228800 1
44 82 4229 1 96 80 444 614400 1228800 1
46 61 4228 1 97 78 447 1228800 633600 7
48 382 4181 5 97 236 1105 1420800 1228800 5
50 108 4219 1 98 69 307 844800 844800 7
52 167 4193 1 100 52 273 1420800 633600 2
54 53 4226 1 103 85 488 844800 1228800 5
56 98 4223 1 102 57 495 1420800 1804800 3
58 92 4217 2 103 80 494 1420800 1228800 1
60 62 4223 1 97 86 444 614400 1228800 5
62 261 4180 1 97 62 332 614400 1228800 5
64 53 4224 1 107 75 509 1420800 1228800 6
66 155 4207 1 103 66 417 614400 1228800 1
68 144 4213 1 97 70 429 1420800 1228800 7
70 179 4200 1 100 70 301 1228800 1228800 1
72 160 4187 2 100 92 646 1420800 633600 1
74 132 4204 1 105 59 376 1420800 633600 25
76 162 4183 1 102 62 368 844800 633600 5
78 68 4206 2 96 122 660 1420800 633600 6
80 53 4219 1 96 41 250 1420800 1228800 1
82 54 4219 2 106 73 479 1420800 844800 5
84 59 4218 1 96 56 350 844800 1228800 1
86 63 4215 1 102 57 347 1420800 633600 1
88 176 4174 1 94 85 363 1420800 1228800 3
90 127 4203 1 103 76 425 1420800 1228800 7
92 101 4207 2 99 86 507 614400 1228800 5
94 160 4183 1 98 58 364 614400 1228800 1
96 195 4185 2 100 106 690 844800 633600 5
98 179 4172 1 97 59 313 1420800 633600 1
100 54 4213 1 104 59 370 844800 1228800 1
102 82 4208 1 97 95 534 1420800 633600 4
104 74 4193 1 102 86 394 1420800 1228800 8
106 146 4206 1 103 84 539 614400 1228800 6
108 181 4182 1 102 42 354 1420800 1228800 1
110 207 4180 2 101 79 543 614400 1228800 5
112 53 4213 1 99 85 337 1420800 1228800 20
114 191 4177 1 103 50 431 1420800 1228800 1
116 73 4212 1 103 73 455 1228800 1228800 3
118 194 4173 1 103 61 368 614400 1228800 10
