# t_s cur_mA v_mV busy_pct pc_res_pct wfi_per_s pc_per_s f0_kHz f4_kHz wlan_pps
2 290 4196 2 97 116 482 1228800 1228800 0
4 63 4228 1 96 65 381 1420800 633600 1
6 53 4223 1 103 59 426 1420800 633600 5
8 191 4190 1 104 39 372 614400 1228800 1
10 174 4194 1 100 77 412 1228800 633600 0
12 90 4220 1 97 89 506 844800 633600 1
14 54 4225 1 99 54 274 844800 633600 8
16 158 4186 1 101 54 366 1420800 633600 3
18 53 4221 1 104 53 373 1228800 633600 0
20 208 4197 3 100 139 818 1420800 1228800 5
22 145 4201 1 92 87 433 844800 1228800 1
24 89 4204 1 101 52 418 1420800 1228800 1
26 169 4188 1 104 65 349 614400 1228800 1
28 53 4219 1 104 59 304 1420800 1228800 6
30 97 4210 2 99 106 681 614400 1228800 1
32 81 4215 1 96 69 382 1420800 1228800 1
34 54 4219 1 103 62 418 1420800 844800 4
36 157 4188 1 95 54 421 1420800 1228800 1
38 222 4181 1 110 44 349 614400 1228800 0
40 74 4217 1 92 88 477 1420800 1228800 1
42 104 4212 2 105 96 575 1420800 1228800 7
44 82 4212 2 100 87 518 844800 844800 4
46 213 4167 1 92 66 310 1420800 633600 1
48 158 4201 1 108 97 515 844800 1228800 4
50 119 4209 1 90 76 357 844800 1228800 22
52 54 4216 1 107 65 346 1228800 1228800 1
54 112 4194 1 96 106 529 1420800 633600 1
56 231 4160 1 104 61 406 1420800 1228800 1
58 68 4202 1 101 49 390 844800 633600 6
60 250 4179 1 101 55 436 614400 1228800 3
62 54 4209 1 108 64 361 844800 633600 4
64 82 4207 1 96 86 460 1420800 633600 1
66 190 4176 1 101 62 490 614400 1228800 1
68 94 4204 1 103 60 442 1420800 1228800 1
70 115 4200 2 103 78 408 1420800 1228800 5
72 141 4190 2 101 130 673 614400 1228800 3
74 218 4170 1 97 75 404 614400 1228800 3
76 155 4187 1 103 52 352 1420800 1228800 4
78 63 4211 1 93 122 536 1420800 1228800 0
80 64 4214 1 97 69 345 1420800 844800 1
82 96 4184 1 99 96 444 1228800 844800 1
84 53 4213 1 99 46 374 1228800 1228800 23
86 216 4174 1 103 58 346 1420800 1228800 5
88 203 4168 1 102 65 392 844800 1228800 3
90 107 4196 1 103 55 435 1420800 1228800 0
92 168 4172 1 94 101 479 614400 1228800 1
94 99 4205 1 103 71 375 1420800 1228800 3
96 81 4195 1 104 75 579 1420800 1228800 1
98 104 4203 1 104 51 317 614400 1228800 5
100 67 4204 1 102 63 422 1420800 1228800 3
102 175 4177 1 98 100 542 1228800 1228800 1
104 146 4195 1 100 62 380 1420800 633600 3
106 62 4210 2 96 91 500 1612800 1228800 4
108 53 4208 0 100 64 361 1228800 1420800 20
110 53 4214 1 106 46 277 844800 1228800 0
112 198 4181 1 98 42 272 614400 1228800 6
114 129 4196 1 103 71 384 614400 1228800 2
116 53 4209 1 97 88 483 1420800 1228800 4
118 154 4182 1 101 50 380 1420800 1228800 1
120 53 4210 1 103 78 567 1420800 1228800 1
122 102 4204 1 101 54 276 614400 633600 1
124 63 4194 1 95 73 365 1420800 633600 1
126 258 4174 1 100 96 585 1420800 633600 5
128 205 4172 1 95 73 430 1420800 1228800 5
130 54 4209 1 108 64 381 614400 1228800 4
132 138 4200 1 99 58 388 1420800 1228800 1
134 155 4177 1 98 65 386 1228800 844800 4
136 53 4212 1 100 58 316 614400 1228800 1
138 160 4175 2 100 89 591 1420800 1228800 2
140 64 4208 1 93 93 456 1420800 633600 5
142 53 4210 1 103 61 383 1228800 633600 24
144 78 4205 1 100 74 469 1420800 1228800 5
146 54 4210 1 105 44 284 614400 1228800 2
148 129 4194 1 100 68 393 1420800 1228800 3
150 63 4207 1 93 111 580 1420800 1228800 1
152 251 4168 1 100 50 337 1228800 633600 1
154 104 4189 1 97 71 384 1228800 633600 2
156 57 4207 2 107 80 553 614400 1228800 10
158 97 4199 1 97 86 452 614400 633600 3
160 53 4209 1 101 47 336 844800 1228800 1
162 201 4177 1 97 60 420 614400 1228800 5
164 84 4188 1 109 80 420 1228800 1228800 2
166 147 4191 1 102 61 346 1228800 633600 0
168 82 4202 2 93 112 696 1420800 1228800 1
170 83 4200 1 98 84 341 614400 633600 8
172 202 4176 1 104 54 284 614400 1228800 5
174 154 4177 1 98 89 438 1420800 844800 1
176 157 4190 1 105 72 367 844800 1228800 3
178 146 4187 1 98 105 460 1036800 633600 1
180 56 4205 1 103 76 441 844800 1228800 1
182 75 4188 1 96 112 488 844800 1228800 1
184 227 4168 1 99 51 299 844800 1228800 9
186 53 4206 2 100 94 562 1420800 1228800 5
188 182 4192 1 101 84 457 1228800 1228800 1
190 82 4200 1 102 79 357 1420800 633600 24
192 97 4193 1 94 95 568 614400 1228800 1
194 341 4155 1 108 50 341 1420800 633600 2
196 115 4198 1 92 74 310 844800 633600 1
198 54 4207 1 101 69 455 614400 1420800 10
200 64 4195 1 99 81 526 1228800 633600 7
202 133 4196 1 96 72 440 1228800 1228800 2
204 168 4179 1 105 63 443 1228800 844800 5
206 54 4205 1 101 62 413 614400 1228800 1
208 52 4208 1 106 44 254 614400 1228800 3
210 180 4171 1 99 70 413 1420800 1228800 1
212 82 4200 1 97 98 495 614400 1228800 9
214 95 4193 1 101 71 411 844800 1228800 5
216 155 4176 1 103 95 558 1420800 1228800 1
218 77 4202 1 103 61 371 1420800 1228800 3
220 162 4174 1 95 80 471 614400 1228800 3
222 57 4203 1 103 56 336 1420800 1228800 1
224 54 4207 1 99 57 329 1420800 1228800 1
226 104 4195 1 104 79 432 1228800 633600 8
228 173 4192 2 97 74 544 1420800 1228800 24
230 172 4160 1 100 107 484 1420800 1228800 1
232 218 4166 1 94 57 323 614400 1228800 5
234 53 4206 1 96 51 385 1420800 1228800 1
236 227 4179 1 112 74 424 1420800 1228800 1
238 63 4203 1 98 69 404 614400 1228800 1
240 227 4181 1 100 87 594 1420800 633600 7
242 53 4204 1 101 70 442 1420800 1228800 7
244 57 4202 1 103 79 433 614400 1420800 1
246 153 4176 1 103 46 363 614400 1228800 5
248 83 4198 1 96 79 388 1228800 1228800 1
250 53 4207 1 103 80 428 1420800 1228800 1
252 133 4189 1 100 62 545 1420800 633600 20
254 107 4198 1 93 90 434 614400 1228800 7
256 203 4166 1 105 70 377 1420800 1228800 8
