# t_s cur_mA v_mV busy_pct pc_res_pct wfi_per_s pc_per_s f0_kHz f4_kHz wlan_pps
2 106 4256 3 90 132 571 844800 633600 0
4 99 4250 1 103 50 353 844800 1228800 2
6 105 4233 1 102 64 321 1420800 633600 0
8 253 4207 1 104 55 345 1420800 1420800 0
10 95 4241 1 102 65 316 1420800 1228800 3
12 54 4247 1 90 51 328 1420800 1228800 4
14 52 4248 1 114 54 324 1420800 1228800 6
16 96 4234 1 103 49 273 1420800 1228800 1
18 293 4199 1 96 91 488 844800 1228800 3
20 97 4229 3 98 183 847 1420800 633600 1
22 53 4243 1 97 66 355 1036800 1228800 0
24 125 4220 1 103 60 404 1420800 844800 0
26 69 4239 1 99 61 382 1420800 1228800 6
28 197 4202 1 100 73 361 1420800 1228800 0
30 191 4209 1 100 86 470 614400 1228800 0
32 54 4237 1 104 65 488 1420800 1228800 4
34 194 4191 1 101 78 442 614400 844800 1
36 52 4235 1 100 80 390 1420800 633600 22
38 134 4211 1 102 72 312 1420800 633600 0
40 106 4217 2 98 72 546 1420800 633600 1
42 57 4225 1 106 61 375 1420800 1228800 0
44 156 4200 1 98 69 376 1420800 633600 0
46 71 4226 1 96 59 444 1420800 1228800 2
48 60 4229 0 105 69 295 1420800 1228800 0
50 53 4226 1 88 49 248 1420800 1228800 2
52 126 4200 2 108 119 604 1420800 1228800 0
54 234 4181 1 96 90 507 614400 1228800 3
56 211 4182 1 98 73 329 844800 633600 0
58 111 4212 1 106 84 455 1420800 633600 0
60 141 4206 1 103 59 436 844800 633600 2
62 54 4223 1 99 61 324 1228800 1228800 0
64 221 4185 1 97 72 465 1420800 1228800 0
66 83 4207 1 97 81 350 1420800 1228800 0
68 67 4218 1 92 62 411 1420800 633600 6
70 193 4176 1 98 71 414 1420800 633600 0
72 83 4209 1 107 84 399 844800 1228800 22
74 87 4204 1 99 53 398 614400 1228800 2
76 117 4198 1 107 55 407 614400 844800 2
78 53 4213 1 100 65 480 844800 1228800 1
80 153 4182 1 102 47 385 614400 1228800 1
82 53 4213 2 97 139 662 1420800 1228800 26
84 97 4204 1 99 71 432 1420800 1228800 3
86 54 4196 1 98 85 438 614400 1228800 0
88 197 4179 1 99 77 519 844800 1228800 1
90 169 4176 1 99 72 480 844800 633600 0
92 97 4204 1 95 74 432 844800 633600 0
94 107 4203 1 104 74 414 1420800 844800 0
96 109 4194 1 95 104 488 1420800 1228800 3
98 56 4213 0 103 42 306 614400 844800 0
100 180 4162 1 95 94 405 1420800 633600 2
102 99 4156 1 103 71 463 1420800 1228800 1
104 123 4193 1 97 72 343 1228800 1228800 0
106 98 4197 1 100 84 537 844800 1228800 0
108 53 4208 1 97 70 380 1228800 1228800 0
110 53 4212 1 104 53 287 1228800 1228800 6
112 187 4181 1 102 88 478 614400 1228800 0
114 145 4194 2 103 80 483 1420800 1228800 0
116 96 4195 1 102 55 409 1228800 844800 0
118 227 4181 2 98 110 531 1420800 1228800 0
120 106 4196 1 98 87 489 1420800 1228800 0
122 211 4176 1 102 56 388 614400 1228800 0
124 96 4199 1 103 48 362 614400 1228800 0
126 173 4174 1 98 78 435 1420800 844800 0
128 62 4208 1 96 75 380 1228800 1228800 3
130 96 4194 1 105 73 492 1420800 1228800 0
132 53 4205 1 102 57 345 1420800 844800 2
134 63 4197 1 104 46 258 1228800 633600 0
136 268 4159 1 92 78 418 844800 1228800 0
138 182 4177 1 106 93 392 614400 633600 2
140 177 4188 1 100 62 412 1228800 1228800 0
142 99 4193 2 106 67 485 1420800 633600 2
144 53 4200 1 99 77 399 1420800 1228800 0
146 256 4161 2 101 124 611 1420800 1228800 2
148 98 4189 1 100 69 435 1420800 633600 0
150 132 4191 1 99 81 519 1228800 1228800 1
152 54 4196 1 96 79 391 1420800 1228800 0
154 100 4196 1 98 80 491 1420800 633600 2
156 97 4201 1 105 74 388 614400 1228800 4
158 148 4186 1 103 69 436 844800 633600 0
160 148 4187 1 90 73 399 1420800 1228800 2
162 155 4173 1 104 70 341 614400 1228800 1
164 53 4204 1 106 74 408 1420800 1228800 0
166 155 4173 1 103 68 433 1420800 633600 1
168 53 4197 1 102 53 400 1228800 633600 2
170 53 4195 1 98 96 424 1420800 633600 0
172 199 4159 1 104 57 400 1420800 1228800 1
174 76 4200 1 101 84 422 1420800 1228800 4
176 54 4203 1 103 60 357 614400 1228800 0
178 63 4196 2 98 111 620 614400 1228800 1
180 242 4174 1 94 72 424 1420800 633600 2
182 281 4158 1 108 70 374 1420800 1228800 3
184 97 4188 1 103 55 357 844800 1228800 0
186 111 4192 1 102 54 256 614400 1228800 0
188 114 4196 1 98 90 516 844800 1228800 5
190 53 4200 1 102 58 426 614400 633600 0
192 173 4166 1 101 66 451 614400 1228800 0
194 82 4190 1 98 80 393 1420800 633600 0
196 54 4198 1 107 54 372 844800 1228800 3
198 54 4196 1 100 51 281 614400 633600 0
200 99 4186 1 102 69 380 1420800 633600 0
202 254 4158 1 101 72 492 1420800 844800 0
204 54 4197 1 91 81 420 1420800 633600 0
206 55 4173 4 104 224 867 844800 633600 0
208 104 4177 1 98 94 416 614400 1228800 0
210 97 4187 1 103 55 369 1228800 633600 4
212 65 4192 1 94 118 502 614400 1228800 0
214 57 4194 1 97 71 402 614400 1228800 0
216 62 4195 1 95 74 437 1612800 1228800 2
218 156 4166 1 94 60 422 1420800 1228800 0
220 96 4188 1 113 73 449 614400 633600 0
222 62 4192 1 99 58 369 1420800 633600 0
224 153 4177 1 97 57 329 1228800 1228800 9
226 106 4181 1 101 77 433 1420800 1228800 1
228 204 4138 2 98 80 393 1420800 633600 1
230 102 4182 1 105 81 514 1420800 633600 4
232 122 4170 1 98 75 420 614400 633600 0
234 119 4178 1 103 54 286 614400 1228800 2
236 106 4180 3 92 124 795 614400 1228800 0
238 225 4154 1 94 66 296 1420800 1228800 3
240 68 4189 2 103 84 547 614400 633600 0
242 54 4196 1 104 47 392 844800 633600 9
244 137 4173 2 101 83 495 614400 1228800 6
246 148 4178 1 103 57 323 1420800 633600 4
248 64 4191 1 94 64 371 1228800 1228800 1
250 180 4168 1 103 77 524 1420800 1228800 0
252 54 4195 1 102 53 276 1420800 633600 5
254 269 4135 1 97 65 531 1228800 633600 1
256 96 4182 1 105 64 294 844800 1228800 0
258 53 4192 1 100 67 320 1420800 633600 2
260 53 4194 2 101 67 486 1420800 1228800 0
262 100 4181 0 104 54 285 1420800 1228800 0
264 157 4159 1 98 67 510 1420800 633600 0
266 106 4177 1 96 73 433 1420800 844800 2
268 198 4147 4 93 152 797 844800 1228800 2
270 108 4181 1 98 65 373 1420800 633600 1
272 53 4190 1 107 52 366 844800 1228800 1
274 266 4145 1 103 71 483 1420800 1228800 1
276 63 4184 1 95 77 292 1420800 844800 0
278 54 4193 2 97 96 583 1036800 1228800 0
280 64 4179 1 101 67 291 614400 1228800 1
282 83 4184 1 98 73 309 1420800 1228800 5
284 54 4192 1 97 53 345 614400 844800 1
286 103 4181 1 99 72 355 1420800 633600 0
288 57 4186 1 106 60 387 1228800 1036800 0
290 290 4133 2 94 97 497 1420800 633600 0
292 82 4183 1 98 103 498 844800 633600 0
294 124 4167 1 102 64 448 1420800 1228800 2
296 54 4191 1 96 45 329 614400 1228800 2
298 108 4167 2 109 84 544 614400 633600 2
300 221 4144 2 94 107 553 1420800 1228800 2
302 90 4183 2 106 82 631 1420800 1228800 2
304 204 4165 1 101 59 420 1420800 633600 0
306 55 4187 1 103 87 455 1420800 633600 1
308 99 4180 1 95 71 370 614400 1228800 1
310 228 4136 1 99 69 334 614400 1228800 2
312 227 4158 1 103 74 422 614400 1228800 2
314 53 4190 1 103 67 462 614400 1228800 0
316 71 4181 1 102 67 473 1420800 633600 0
318 82 4183 1 94 61 278 1420800 633600 0
320 177 4166 2 98 49 368 1420800 633600 1
322 114 4178 2 98 65 445 1420800 633600 1
324 53 4189 1 105 47 288 614400 1228800 1
326 203 4152 1 97 92 489 1420800 1228800 4
328 75 4179 1 99 57 417 614400 1228800 2
330 110 4168 2 101 104 565 1228800 1228800 1
332 108 4173 1 94 50 431 1228800 1228800 0
334 127 4173 1 111 49 390 1420800 1228800 0
336 158 4155 2 96 114 587 1228800 1228800 0
338 53 4186 4 93 201 767 1420800 844800 4
340 96 4178 1 100 74 416 1420800 844800 1
342 95 4183 1 107 56 401 614400 1228800 1
344 96 4181 1 103 77 389 1228800 1228800 2
346 253 4133 1 101 84 450 614400 1804800 0
348 82 4183 2 95 97 357 1228800 1228800 0
350 54 4189 2 101 119 616 1420800 1228800 0
352 192 4154 3 100 142 604 844800 1612800 0
354 212 4149 1 93 88 436 614400 633600 0
356 223 4146 1 96 60 424 1420800 633600 1
358 138 4170 1 104 57 441 1228800 633600 0
# window_from=2  # samples before this mark saw a lit panel
