# t_s cur_mA v_mV busy_pct pc_res_pct wfi_per_s pc_per_s f0_kHz f4_kHz wlan_pps
2 102 4192 2 100 99 584 1420800 1228800 5
4 82 4195 1 87 79 348 1228800 1228800 3
6 201 4176 0 103 67 297 1420800 633600 1
8 191 4155 1 99 68 443 1612800 633600 1
10 53 4195 1 100 52 454 614400 1228800 8
12 52 4195 2 106 94 578 1420800 633600 4
14 116 4170 1 92 72 398 844800 1228800 0
16 107 4181 1 102 48 276 1420800 1228800 2
18 53 4194 1 101 55 371 614400 844800 1
20 53 4193 3 103 141 721 614400 1228800 1
22 107 4175 1 93 76 396 1420800 1228800 8
24 223 4146 1 101 54 305 1420800 1228800 6
26 53 4191 1 106 51 348 844800 1228800 6
28 54 4189 1 103 53 311 1420800 1228800 6
30 54 4190 1 104 84 493 1420800 1228800 3
32 99 4178 1 95 85 486 614400 1228800 3
34 189 4160 1 102 68 456 1420800 633600 1
36 57 4188 1 100 64 360 1420800 1228800 2
38 53 4190 1 105 46 347 614400 1228800 6
40 62 4184 1 100 88 436 1420800 1228800 6
42 63 4187 2 96 115 547 844800 1228800 7
44 236 4160 1 102 114 507 614400 1228800 20
46 189 4155 2 96 107 575 1036800 633600 4
48 54 4182 2 101 82 476 1420800 1036800 1
50 202 4147 1 97 67 397 1420800 633600 2
52 55 4185 1 100 69 317 1420800 1228800 5
54 53 4185 1 100 57 517 614400 1228800 5
56 109 4165 1 96 73 397 1420800 1228800 4
58 145 4167 1 106 74 430 614400 633600 1
60 160 4159 1 97 56 343 1420800 1228800 7
62 54 4184 1 108 89 450 1420800 1228800 4
64 107 4175 1 101 68 447 1420800 1228800 1
66 63 4181 1 94 57 374 614400 844800 6
68 218 4155 1 103 63 525 614400 1228800 5
70 198 4141 1 93 90 439 614400 1228800 8
72 124 4164 1 103 82 418 1228800 1228800 3
74 183 4144 2 95 86 617 614400 1228800 6
76 54 4179 1 106 61 330 614400 1228800 2
78 99 4171 1 99 66 454 844800 1228800 2
80 222 4129 1 108 79 431 1228800 633600 2
82 97 4164 1 99 85 415 1228800 1228800 2
84 141 4170 1 100 78 354 1420800 1228800 5
86 157 4161 1 97 69 413 1228800 1228800 1
88 53 4181 1 99 72 402 1420800 633600 5
90 187 4142 1 101 62 370 1420800 1228800 1
92 54 4175 2 97 103 600 1420800 844800 5
94 56 4171 1 97 60 346 614400 633600 26
96 53 4173 1 101 75 460 844800 1228800 9
98 288 4143 1 105 53 370 614400 1228800 6
100 53 4180 1 102 67 391 1420800 1228800 3
102 100 4172 1 93 98 502 614400 1228800 5
104 68 4176 4 95 181 759 844800 1228800 2
106 155 4148 1 101 74 444 614400 1228800 2
108 158 4130 1 102 48 270 1228800 1228800 3
