# t_s cur_mA v_mV busy_pct pc_res_pct wfi_per_s pc_per_s f0_kHz f4_kHz wlan_pps
2 63 4206 2 93 128 566 614400 633600 0
4 53 4202 1 102 64 341 844800 1228800 0
6 52 4199 1 98 51 313 844800 1228800 0
8 198 4168 1 107 52 353 844800 1228800 0
10 63 4199 1 100 70 375 1420800 1228800 0
12 53 4200 1 92 49 300 1228800 1228800 0
14 54 4198 1 104 68 423 1420800 1612800 0
16 54 4199 1 96 59 314 1420800 633600 0
18 203 4158 1 101 66 288 844800 1228800 0
20 54 4196 3 99 154 821 614400 844800 0
22 250 4159 1 104 54 258 614400 633600 0
24 68 4193 2 95 75 605 1228800 1228800 0
26 214 4166 2 94 115 465 1228800 844800 0
28 294 4156 1 109 49 300 1228800 1228800 0
30 63 4188 2 102 83 663 1228800 633600 0
32 54 4197 1 104 49 266 1420800 1804800 0
34 64 4185 1 98 88 420 614400 1228800 0
36 168 4164 1 100 69 442 614400 1228800 0
38 53 4195 0 98 42 259 844800 633600 0
40 80 4183 1 105 63 485 614400 1228800 0
42 58 4194 1 100 67 399 844800 1228800 0
44 161 4156 1 103 63 428 1420800 1228800 0
46 161 4166 1 96 61 359 614400 1228800 0
48 91 4184 1 107 67 461 614400 633600 0
50 110 4173 1 102 46 381 1420800 633600 0
52 83 4186 1 95 71 322 614400 1228800 0
54 174 4161 2 103 87 635 1420800 844800 0
56 83 4178 1 93 93 409 1420800 844800 0
58 156 4185 1 95 69 411 844800 633600 0
60 54 4184 6 101 273 1150 614400 1228800 0
62 156 4168 1 98 68 326 1420800 1228800 0
64 189 4152 1 96 97 483 614400 1228800 0
66 54 4188 1 96 77 297 614400 1228800 0
68 54 4192 1 116 78 478 1420800 1228800 0
70 54 4168 1 97 61 343 1228800 1228800 0
72 101 4180 1 99 84 495 1420800 1228800 0
74 169 4164 2 100 62 398 614400 1228800 0
76 55 4191 0 106 51 294 1228800 1228800 0
78 54 4191 1 102 85 546 844800 1228800 0
80 154 4156 1 96 71 323 844800 1228800 0
82 54 4191 1 99 61 417 1420800 1228800 0
84 54 4188 1 107 81 461 614400 1228800 0
86 83 4184 1 86 65 334 844800 1228800 0
88 54 4190 2 106 76 406 1420800 1420800 0
90 171 4156 1 98 138 485 1228800 1228800 0
92 61 4190 2 103 78 515 1420800 633600 0
94 137 4175 0 102 62 315 1420800 1228800 0
96 98 4186 1 96 105 473 1420800 633600 0
98 85 4191 1 103 61 343 844800 1228800 0
100 147 4161 1 104 48 289 844800 1228800 0
102 175 4166 4 92 201 992 1420800 1228800 0
104 172 4161 1 102 62 266 1420800 1228800 0
106 55 4186 1 94 65 378 844800 1228800 0
108 59 4184 3 110 138 582 614400 1228800 0
110 197 4158 1 97 96 404 614400 633600 0
112 54 4190 1 99 80 359 1420800 844800 0
114 158 4162 1 105 51 369 844800 1228800 0
116 210 4151 2 103 80 508 1420800 1036800 0
118 127 4178 1 97 91 589 1420800 1228800 0
120 225 4152 1 88 78 464 844800 1228800 0
122 63 4185 1 102 74 401 614400 1228800 0
124 150 4173 1 102 54 256 614400 1228800 0
126 53 4185 2 96 92 552 614400 1228800 0
128 182 4158 1 102 70 308 1420800 1228800 0
130 187 4156 2 99 108 542 1420800 1036800 0
132 83 4178 1 97 95 520 1420800 1228800 0
134 116 4182 2 100 84 512 614400 633600 0
136 98 4178 1 104 50 302 1420800 1228800 0
138 54 4189 1 99 70 367 844800 1228800 0
140 54 4188 1 102 86 487 1420800 1228800 0
142 148 4170 1 97 43 259 844800 1228800 0
144 98 4182 2 106 76 559 614400 1228800 0
146 221 4149 1 101 75 294 1228800 1228800 0
148 96 4182 1 100 60 391 1420800 1420800 0
150 54 4185 2 97 97 595 614400 633600 0
152 162 4155 1 102 58 298 614400 1228800 0
154 53 4186 2 102 95 543 614400 1228800 0
156 207 4144 1 97 85 398 614400 1228800 0
158 54 4183 2 97 108 671 1420800 1228800 0
160 52 4187 1 104 52 279 614400 1228800 0
162 53 4182 1 103 48 274 1420800 633600 0
164 125 4178 2 99 109 609 1420800 1228800 0
166 256 4143 1 92 63 276 1420800 1804800 0
168 76 4186 2 105 90 517 1420800 1228800 0
170 53 4186 1 102 49 334 1420800 633600 0
172 298 4133 1 102 101 484 614400 1228800 0
174 53 4186 1 96 55 313 1228800 633600 0
176 173 4156 1 106 49 330 1420800 633600 0
178 54 4185 1 98 75 557 844800 1228800 0
180 54 4185 0 107 50 349 844800 1228800 0
182 84 4172 2 97 101 649 1420800 1228800 0
184 53 4185 1 97 47 376 1420800 1228800 0
186 53 4187 1 103 70 312 844800 1036800 0
188 63 4182 1 103 91 503 1420800 1228800 0
190 129 4169 1 104 61 257 844800 1228800 0
192 111 4164 2 102 97 621 1420800 1228800 0
194 187 4161 1 101 43 335 844800 633600 0
196 241 4129 1 106 84 494 1420800 633600 0
198 53 4182 1 90 71 339 1228800 1228800 0
200 170 4154 1 105 53 370 614400 633600 0
202 55 4173 1 98 75 505 1420800 1228800 0
204 53 4186 1 106 45 256 1420800 1228800 0
206 220 4145 2 98 93 599 1228800 633600 0
208 54 4185 1 101 63 295 1420800 1420800 0
210 164 4150 1 97 114 517 1420800 1228800 0
212 154 4154 1 103 66 389 1420800 1228800 0
214 84 4177 1 87 77 453 614400 633600 0
216 220 4120 2 104 96 530 1420800 633600 0
218 63 4184 1 101 53 362 1228800 1228800 0
220 164 4151 2 100 89 514 1420800 844800 0
222 52 4181 1 106 52 264 1420800 633600 0
224 83 4176 1 98 82 390 614400 1228800 0
226 56 4185 1 97 73 503 614400 1228800 0
228 53 4183 1 109 43 281 614400 633600 0
230 211 4151 2 102 96 565 614400 633600 0
232 170 4150 1 103 60 295 1420800 1228800 0
234 135 4152 2 95 100 482 1228800 1228800 0
236 53 4184 1 102 74 357 1420800 844800 0
238 54 4180 1 105 51 276 1420800 1228800 0
240 54 4183 2 102 99 524 1420800 1228800 0
242 223 4121 2 100 103 629 844800 633600 0
244 64 4179 2 97 113 609 844800 633600 0
246 59 4183 1 101 65 271 614400 1228800 0
248 203 4164 1 102 95 441 614400 633600 0
250 52 4183 1 102 79 401 1420800 633600 0
252 222 4129 1 89 76 500 1420800 1228800 0
254 53 4181 2 101 119 555 1228800 1228800 0
256 95 4175 1 102 54 295 1420800 633600 0
258 151 4155 2 102 107 543 614400 633600 0
260 82 4175 1 87 70 328 614400 633600 0
262 54 4184 1 112 47 280 1420800 633600 0
264 102 4171 1 104 78 589 1420800 633600 0
266 55 4184 1 104 43 259 614400 633600 0
268 64 4172 2 97 80 556 1420800 844800 0
270 54 4182 1 100 79 417 1228800 633600 0
272 53 4182 2 101 110 486 1420800 1228800 0
274 176 4157 1 98 88 494 1420800 1228800 0
276 65 4179 3 99 164 632 1420800 1228800 0
278 164 4150 2 98 101 567 1228800 633600 0
280 53 4183 1 99 45 279 1420800 844800 0
282 75 4176 2 107 102 705 1420800 1228800 0
284 67 4181 1 102 50 279 1228800 1036800 0
286 131 4162 1 102 66 314 1420800 1228800 0
288 254 4143 1 101 84 438 844800 1228800 0
290 54 4181 1 103 41 236 614400 633600 0
292 107 4175 1 99 80 558 614400 1228800 0
294 54 4180 0 100 42 275 614400 1228800 0
296 191 4153 1 102 81 375 1420800 1036800 0
298 175 4153 1 99 61 354 1420800 1228800 0
300 64 4178 1 102 63 298 844800 1228800 0
302 63 4178 2 97 113 693 1420800 844800 0
304 98 4165 1 100 65 471 844800 633600 0
306 54 4181 2 100 98 549 844800 1228800 0
308 53 4180 1 106 47 254 614400 1228800 0
310 136 4144 1 96 80 454 614400 1228800 0
312 54 4179 1 94 83 461 1420800 1228800 0
314 183 4144 0 97 35 258 1420800 1228800 0
316 175 4150 1 103 98 545 1228800 633600 0
318 111 4139 1 109 48 279 1228800 1228800 0
320 60 4166 1 98 101 505 1420800 1228800 0
322 112 4160 1 101 50 301 1420800 1228800 0
324 152 4151 0 103 55 293 1420800 633600 0
326 154 4152 2 103 65 519 1420800 1228800 0
328 63 4178 1 104 51 392 844800 1228800 0
330 54 4174 2 98 111 584 1420800 1228800 0
332 53 4181 1 98 50 287 1420800 1228800 0
334 184 4144 2 105 88 655 1228800 1228800 0
336 153 4148 1 97 82 430 1420800 633600 0
338 64 4180 1 100 43 266 844800 1228800 0
340 55 4170 1 102 73 541 1420800 1228800 0
342 97 4177 1 98 48 247 844800 633600 0
344 54 4178 1 102 99 544 1420800 1228800 0
346 84 4167 1 95 75 389 1420800 1228800 0
348 168 4162 1 103 54 306 614400 633600 0
350 196 4141 2 100 69 416 614400 1228800 0
352 53 4180 1 102 59 397 614400 1228800 0
354 175 4153 2 94 107 542 1420800 1228800 0
