# t_s cur_mA v_mV APSS_sd APSS_xosd APSS_xopct APSS_cores LPASS_sd LPASS_xosd LPASS_xopct LPASS_cores MPSS_sd MPSS_xosd MPSS_xopct MPSS_cores PRONTO_sd PRONTO_xosd PRONTO_xopct PRONTO_cores
2 52 4318 10 0 0 0x1 0 0 0 0x0 6 6 66 0x0 19 19 81 0x0 
4 53 4304 32 0 0 0x1 0 0 0 0x0 3 3 41 0x0 20 20 87 0x0 
6 52 4314 29 0 0 0x1 0 0 0 0x0 7 7 98 0x0 21 21 84 0x0 
8 262 4275 18 0 0 0x1 0 0 0 0x0 5 5 79 0x1 20 20 82 0x0 
10 150 4278 15 0 0 0x1 0 0 0 0x0 1 1 11 0x1 21 21 87 0x0 
12 53 4306 19 0 0 0x1 0 0 0 0x0 6 6 61 0x0 15 15 68 0x1 
14 223 4263 30 0 0 0x1 0 0 0 0x0 3 3 53 0x1 19 19 73 0x0 
16 52 4305 35 0 0 0x1 0 0 0 0x0 4 4 28 0x0 20 20 84 0x0 
18 52 4306 20 0 0 0x1 0 0 0 0x0 8 8 84 0x0 20 20 83 0x0 
20 136 4287 15 0 0 0x1 0 0 0 0x0 3 3 40 0x0 18 17 72 0x1 
22 121 4295 11 0 0 0x1 0 0 0 0x0 6 6 80 0x0 16 16 66 0x1 
24 53 4304 28 0 0 0x1 0 0 0 0x0 6 6 92 0x1 21 21 81 0x0 
26 187 4278 35 0 0 0x1 0 0 0 0x0 4 4 37 0x0 20 20 85 0x0 
28 52 4304 17 0 0 0x1 0 0 0 0x0 6 6 93 0x0 20 20 83 0x0 
30 239 4260 26 0 0 0x1 0 0 0 0x0 4 4 53 0x1 16 16 60 0x1 
32 145 4285 26 0 0 0x1 0 0 0 0x0 6 6 56 0x0 9 9 19 0x1 
34 54 4298 27 0 0 0x1 0 0 0 0x0 6 6 98 0x0 10 10 26 0x0 
36 63 4289 6 0 0 0x1 0 0 0 0x0 4 4 38 0x0 20 20 81 0x1 
38 81 4293 22 0 0 0x1 0 0 0 0x0 6 6 84 0x0 20 20 82 0x0 
40 136 4275 20 0 0 0x1 0 0 0 0x0 6 6 97 0x1 20 20 84 0x0 
42 60 4296 31 0 0 0x1 0 0 0 0x0 4 4 38 0x0 20 20 86 0x0 
44 53 4298 25 0 0 0x1 0 0 0 0x0 6 6 81 0x0 20 20 83 0x0 
46 198 4261 17 0 0 0x1 0 0 0 0x0 4 4 70 0x1 20 20 85 0x0 
48 53 4300 19 0 0 0x1 0 0 0 0x0 7 7 69 0x0 19 19 84 0x1 
50 141 4289 19 0 0 0x1 0 0 0 0x0 6 6 83 0x0 20 20 81 0x0 
52 53 4292 24 0 0 0x1 0 0 0 0x0 4 4 55 0x0 20 20 87 0x0 
