# t_s cur_mA v_mV APSS_sd APSS_xosd APSS_xopct APSS_cores LPASS_sd LPASS_xosd LPASS_xopct LPASS_cores MPSS_sd MPSS_xosd MPSS_xopct MPSS_cores PRONTO_sd PRONTO_xosd PRONTO_xopct PRONTO_cores
2 97 4282 34 0 0 0x1 0 0 0 0x0 5 5 47 0x0 14 14 54 0x1 
4 65 4288 40 0 0 0x1 0 0 0 0x0 6 6 79 0x0 21 21 80 0x0 
6 171 4248 18 0 0 0x1 0 0 0 0x0 4 4 53 0x0 20 20 87 0x0 
8 90 4279 27 0 0 0x1 0 0 0 0x0 6 6 80 0x0 19 19 83 0x1 
10 181 4258 30 0 0 0x1 0 0 0 0x0 4 4 67 0x1 20 20 81 0x0 
12 53 4283 38 0 0 0x1 0 0 0 0x0 4 4 33 0x0 20 20 85 0x0 
14 53 4282 28 0 0 0x1 0 0 0 0x0 6 6 80 0x0 20 20 86 0x0 
16 267 4237 22 0 0 0x1 0 0 0 0x0 4 4 70 0x1 20 20 83 0x0 
18 57 4279 21 0 0 0x1 0 0 0 0x0 6 6 63 0x0 19 19 85 0x1 
20 173 4248 24 0 0 0x1 0 0 0 0x0 4 4 65 0x1 20 20 82 0x0 
22 97 4260 28 0 0 0x1 0 0 0 0x0 3 3 17 0x0 13 13 48 0x1 
24 131 4259 27 0 0 0x1 0 0 0 0x0 7 7 91 0x0 7 7 19 0x1 
26 52 4276 15 0 0 0x1 0 0 0 0x0 6 6 80 0x0 12 12 37 0x0 
28 150 4247 32 0 0 0x1 0 0 0 0x0 0 0 14 0x1 20 20 85 0x1 
30 52 4278 22 0 0 0x1 0 0 0 0x0 8 7 76 0x0 20 20 80 0x0 
32 187 4238 20 0 0 0x1 0 0 0 0x0 4 4 66 0x1 20 20 86 0x0 
34 148 4260 30 0 0 0x1 0 0 0 0x0 5 5 53 0x0 20 20 78 0x0 
36 53 4277 27 0 0 0x1 0 0 0 0x0 7 7 95 0x0 21 21 86 0x0 
38 178 4246 34 0 0 0x1 0 0 0 0x0 3 3 42 0x0 19 19 76 0x0 
40 62 4272 9 0 0 0x1 0 0 0 0x0 6 6 78 0x0 19 19 84 0x1 
42 98 4268 12 0 0 0x1 0 0 0 0x0 7 7 93 0x0 20 20 80 0x0 
44 81 4266 23 0 0 0x1 0 0 0 0x0 3 3 40 0x0 14 14 60 0x0 
46 123 4256 26 0 0 0x1 0 0 0 0x0 6 6 78 0x0 18 18 77 0x1 
48 276 4219 20 0 0 0x1 0 0 0 0x0 5 5 80 0x1 13 13 51 0x0 
50 54 4272 26 0 0 0x1 0 0 0 0x0 5 5 54 0x0 19 19 87 0x1 
52 173 4250 30 0 0 0x1 0 0 0 0x0 7 7 73 0x0 21 21 79 0x0 
54 149 4245 34 0 0 0x1 0 0 0 0x0 4 4 53 0x0 20 20 83 0x0 
56 129 4250 43 0 0 0x1 0 0 0 0x0 6 6 78 0x0 12 12 42 0x1 
58 115 4256 17 0 0 0x1 0 0 0 0x0 6 6 92 0x1 8 8 20 0x1 
60 104 4262 21 0 0 0x1 0 0 0 0x0 4 4 40 0x0 14 14 41 0x0 
62 52 4274 26 0 0 0x1 0 0 0 0x0 6 6 79 0x0 20 20 83 0x0 
64 221 4236 25 0 0 0x1 0 0 0 0x0 5 5 80 0x1 20 20 80 0x0 
66 168 4246 26 0 0 0x1 0 0 0 0x0 5 5 50 0x0 20 20 84 0x0 
68 136 4247 23 0 0 0x1 0 0 0 0x0 6 6 79 0x0 20 20 83 0x0 
70 292 4224 25 0 0 0x1 0 0 0 0x0 3 3 57 0x1 21 21 82 0x0 
72 95 4265 25 0 0 0x1 0 0 0 0x0 7 7 78 0x0 20 20 84 0x0 
