# t_s cur_mA v_mV APSS_sd APSS_xosd APSS_xopct APSS_cores LPASS_sd LPASS_xosd LPASS_xopct LPASS_cores MPSS_sd MPSS_xosd MPSS_xopct MPSS_cores PRONTO_sd PRONTO_xosd PRONTO_xopct PRONTO_cores
2 52 4296 30 0 0 0x1 0 0 0 0x0 7 7 79 0x0 16 16 64 0x0 
4 239 4264 26 0 0 0x1 0 0 0 0x0 5 5 79 0x1 20 20 86 0x0 
6 93 4281 24 0 0 0x1 0 0 0 0x0 3 3 32 0x1 20 20 87 0x0 
8 117 4272 35 0 0 0x1 0 0 0 0x0 7 7 79 0x0 20 20 82 0x0 
10 191 4248 24 0 0 0x1 0 0 0 0x0 2 2 41 0x1 20 20 82 0x0 
12 62 4284 11 0 0 0x1 0 0 0 0x0 7 7 88 0x1 20 20 81 0x0 
14 97 4275 32 0 0 0x1 0 0 0 0x0 7 7 83 0x0 15 15 51 0x0 
16 105 4268 25 0 0 0x1 0 0 0 0x0 2 2 23 0x0 7 7 19 0x1 
18 99 4267 29 0 0 0x1 0 0 0 0x0 6 6 98 0x1 12 12 34 0x0 
20 202 4239 23 0 0 0x1 0 0 0 0x0 6 6 60 0x1 20 20 85 0x0 
22 52 4282 20 0 0 0x1 0 0 0 0x0 5 5 53 0x0 20 20 86 0x0 
24 97 4280 29 0 0 0x1 0 0 0 0x0 7 6 92 0x0 20 20 77 0x0 
26 179 4246 14 0 0 0x1 0 0 0 0x0 1 2 27 0x1 21 21 84 0x0 
28 188 4258 22 0 0 0x1 0 0 0 0x0 5 5 48 0x0 20 20 85 0x0 
30 157 4262 19 0 0 0x1 0 0 0 0x0 7 7 87 0x1 20 20 86 0x0 
32 233 4255 15 0 0 0x1 0 0 0 0x0 4 4 38 0x0 20 20 87 0x0 
34 56 4281 17 0 0 0x1 0 0 0 0x0 6 6 79 0x0 20 20 87 0x0 
36 195 4251 31 0 0 0x1 0 0 0 0x0 4 4 66 0x1 19 19 81 0x0 
38 52 4282 40 0 0 0x1 0 0 0 0x0 6 6 64 0x0 19 19 80 0x0 
40 95 4277 30 0 0 0x1 0 0 0 0x0 6 6 79 0x0 20 20 84 0x0 
42 201 4230 30 0 0 0x1 0 0 0 0x0 3 3 39 0x0 15 15 61 0x0 
44 62 4278 16 0 0 0x1 0 0 0 0x0 6 6 80 0x0 20 20 86 0x0 
46 190 4259 32 0 0 0x1 0 0 0 0x0 6 6 82 0x0 19 19 86 0x1 
48 105 4262 35 0 0 0x1 0 0 0 0x0 4 4 55 0x0 14 14 48 0x1 
50 157 4264 24 0 0 0x1 0 0 0 0x0 6 6 83 0x0 9 9 18 0x1 
52 154 4247 33 0 0 0x1 0 0 0 0x0 4 4 70 0x1 11 11 34 0x0 
54 156 4263 21 0 0 0x1 0 0 0 0x0 6 6 67 0x0 21 21 84 0x0 
56 52 4281 31 0 0 0x1 0 0 0 0x0 6 6 80 0x0 20 20 85 0x0 
58 53 4272 29 0 0 0x1 0 0 0 0x0 3 3 52 0x1 20 20 86 0x0 
60 156 4260 20 0 0 0x1 0 0 0 0x0 7 7 79 0x0 19 19 79 0x0 
62 62 4278 29 0 0 0x1 0 0 0 0x0 6 6 79 0x0 20 20 85 0x0 
64 53 4275 19 0 0 0x1 0 0 0 0x0 3 3 50 0x1 20 20 86 0x0 
66 97 4272 34 0 0 0x1 0 0 0 0x0 7 7 79 0x0 20 20 83 0x0 
68 158 4247 33 0 0 0x1 0 0 0 0x0 4 4 67 0x1 19 19 85 0x1 
70 98 4270 28 0 0 0x1 0 0 0 0x0 6 6 61 0x0 21 21 80 0x0 
72 64 4278 31 0 0 0x1 0 0 0 0x0 6 6 80 0x0 20 20 82 0x1 
74 149 4250 22 0 0 0x1 0 0 0 0x0 3 3 39 0x0 20 20 82 0x0 
76 53 4279 29 0 0 0x1 0 0 0 0x0 7 7 91 0x0 20 20 86 0x0 
78 186 4253 23 0 0 0x1 0 0 0 0x0 6 6 81 0x0 20 20 86 0x0 
80 129 4259 33 0 0 0x1 0 0 0 0x0 3 3 39 0x0 15 15 70 0x1 
82 162 4246 36 0 0 0x1 0 0 0 0x0 7 7 98 0x0 9 9 26 0x1 
84 265 4232 15 0 0 0x1 0 0 0 0x0 4 4 70 0x1 7 7 19 0x1 
86 52 4277 32 0 0 0x1 0 0 0 0x0 5 5 54 0x0 13 13 38 0x0 
88 99 4270 32 0 0 0x1 0 0 0 0x0 7 7 96 0x0 20 20 86 0x0 
90 92 4263 28 0 0 0x1 0 0 0 0x0 3 3 41 0x0 20 20 83 0x0 
92 185 4250 29 0 0 0x1 0 0 0 0x0 6 6 77 0x0 20 20 87 0x0 
94 98 4265 27 0 0 0x1 0 0 0 0x0 7 7 92 0x0 15 15 69 0x1 
96 194 4245 36 0 0 0x1 0 0 0 0x0 2 2 37 0x1 17 17 64 0x0 
98 52 4277 40 0 0 0x1 0 0 0 0x0 5 5 51 0x0 20 20 79 0x0 
100 179 4245 29 0 0 0x1 0 0 0 0x0 5 5 80 0x1 20 20 84 0x0 
102 106 4265 36 0 0 0x1 0 0 0 0x0 5 5 51 0x0 15 15 56 0x1 
104 53 4277 24 0 0 0x1 0 0 0 0x0 6 6 80 0x0 16 16 65 0x1 
106 153 4242 38 0 0 0x1 0 0 0 0x0 4 4 56 0x0 12 12 43 0x1 
108 63 4273 28 0 0 0x1 0 0 0 0x0 6 6 82 0x0 20 20 81 0x0 
110 81 4266 18 0 0 0x1 0 0 0 0x0 6 6 97 0x1 20 20 82 0x0 
112 52 4275 32 0 0 0x1 0 0 0 0x0 4 4 39 0x0 20 20 85 0x0 
114 59 4273 36 0 0 0x1 0 0 0 0x0 6 6 82 0x0 21 21 82 0x0 
116 229 4219 21 0 0 0x1 0 0 0 0x0 5 5 82 0x1 10 10 38 0x1 
