# uptime_s cap_pct v_uV cur_uA temp_dC bl_power status
27207.81 100 4308095 -136108 275 4 Discharging
27217.88 100 4296028 -190887 274 4 Discharging
27227.94 100 4292135 -212402 275 4 Discharging
27238.01 100 4329505 -51727 275 4 Discharging
27248.10 100 4289605 -202179 275 4 Discharging
27258.17 100 4321915 -62866 274 4 Discharging
27268.25 100 4285907 -160369 275 4 Discharging
27278.35 100 4295055 -167083 274 4 Discharging
27288.43 100 4290383 -143280 274 4 Discharging
27298.51 100 4279678 -181274 274 4 Discharging
27308.58 100 4316075 -61798 274 4 Discharging
27318.69 100 4317049 -53253 274 4 Discharging
27328.76 100 4316270 -53405 274 4 Discharging
27338.84 100 4308679 -52948 274 4 Discharging
27348.93 100 4293108 -172729 274 4 Discharging
27359.00 100 4297196 -136566 274 4 Discharging
27369.08 100 4309458 -53100 274 4 Discharging
27379.15 100 4272671 -177917 274 4 Discharging
27389.21 100 4311015 -52948 274 4 Discharging
27399.28 100 4299142 -108795 273 4 Discharging
27409.36 100 4265859 -271301 274 4 Discharging
27419.45 100 4273061 -242157 274 4 Discharging
27429.52 100 4305565 -59661 274 4 Discharging
27439.60 100 4288242 -107421 274 4 Discharging
27449.68 100 4297780 -53405 274 4 Discharging
27459.75 100 4270336 -176239 274 4 Discharging
27469.83 100 4303813 -52490 273 4 Discharging
27479.93 100 4273645 -214080 273 4 Discharging
27490.01 100 4290189 -97503 274 4 Discharging
27500.08 100 4285128 -114135 273 4 Discharging
27510.16 100 4254765 -219726 274 4 Discharging
27520.24 100 4288437 -95520 273 4 Discharging
27530.32 100 4279289 -234832 273 4 Discharging
27540.40 100 4294081 -99487 273 4 Discharging
27550.47 100 4282209 -258178 273 4 Discharging
27560.54 100 4294471 -102844 273 4 Discharging
27570.62 100 4301088 -54168 273 4 Discharging
27580.70 100 4269752 -186309 273 4 Discharging
27590.77 100 4266248 -153198 273 4 Discharging
27600.84 100 4268195 -182953 273 4 Discharging
27610.92 100 4258268 -235290 273 4 Discharging
27620.98 100 4280457 -157318 273 4 Discharging
27631.06 100 4281041 -154876 273 4 Discharging
27641.15 100 4296417 -66223 273 4 Discharging
27651.22 100 4294471 -53710 272 4 Discharging
27661.29 100 4279094 -139770 272 4 Discharging
27671.36 100 4265664 -154113 273 4 Discharging
27681.45 100 4257490 -198669 273 4 Discharging
27691.51 99 4269752 -205078 272 4 Discharging
27701.57 99 4295639 -53100 273 4 Discharging
27711.64 99 4289799 -153045 272 4 Discharging
27721.72 99 4285128 -82244 272 4 Discharging
27731.80 99 4288048 -70800 272 4 Discharging
27741.88 99 4247563 -238037 273 4 Discharging
27751.97 99 4262356 -193634 273 4 Discharging
27762.04 99 4277927 -142822 272 4 Discharging
