active
# duty-vs-uptime hours=5 window=360s start_uptime=28
# kernel=#79-fp3 SMP PREEMPT Fri Aug 28 18:42:18 UTC 2026
# modem at first window: state=registered tech=lte
# uptime_s mpss_up_pct edge_per_s cap
48 44.4 36.9 96
291 44.2 36.0 96
721 50.5 35.2 95
1106 48.9 35.3 95
1492 51.1 35.7 94
1877 48.4 35.2 94
2262 52.9 34.7 93
2652 48.4 34.3 93
3037 52.7 34.4 92
3422 51.1 35.5 92
3807 52.7 34.9 91
4193 50.5 35.2 91
4578 52.2 35.0 90
4963 48.9 34.7 90
5348 46.8 35.3 89
5733 56.6 35.2 89
6123 49.5 35.0 88
6508 51.1 35.5 88
6893 48.4 35.9 87
7279 50.0 34.9 87
7664 50.5 34.4 86
8049 47.8 34.6 86
8434 48.4 35.5 86
8819 49.5 34.4 85
9204 46.2 34.3 85
9589 47.8 35.4 84
9974 49.2 34.1 84
10364 48.9 36.5 83
10749 49.5 35.5 83
11135 52.2 35.5 82
11520 48.9 35.3 82
11905 47.8 35.7 81
12290 49.5 34.5 81
12675 46.0 36.2 81
13061 53.0 35.2 80
13444 50.0 35.1 80
13825 54.9 34.9 79
14206 52.7 35.4 78
14586 53.3 35.4 78
14967 50.5 34.7 77
15347 49.5 35.2 77
15731 50.0 35.4 76
16112 54.3 34.8 76
16493 49.5 34.3 75
16879 51.6 34.9 75
17259 48.6 35.1 74
