# round wall_s uptime_s slept_s cap v_uV temp_dC wake_irq susp_ok susp_fail
1 0 1592 0 98 4304203 271 awake 2 0
2 300 1892 0 98 4296806 270 awake 2 0
3 600 2192 0 97 4288632 270 awake 2 0
4 900 2492 0 97 4267222 270 awake 2 0
5 1200 2792 0 97 4256906 269 awake 2 0
6 1500 3092 0 97 4255933 269 awake 2 0
7 1800 3392 0 96 4245228 269 awake 2 0
8 2100 3692 0 96 4254570 270 awake 2 0
9 2400 3992 0 96 4251651 270 awake 2 0
10 2701 4293 0 95 4232382 270 awake 2 0
11 3001 4593 0 95 4238026 271 awake 2 0
12 3301 4893 0 95 4220703 271 awake 2 0
13 3601 5193 0 94 4196568 271 awake 2 0
14 3901 5493 0 94 4190924 272 awake 2 0
15 4201 5793 0 94 4218562 273 awake 2 0
16 4501 6093 0 93 4184890 274 awake 2 0
17 4801 6393 0 93 4208636 273 awake 2 0
18 5101 6693 0 93 4157836 274 awake 2 0
