# [qrtr://0] Successfully got RF band info
# Band Information:
# 	Radio Interface:   'lte'
# 	Active Band Class: 'eutran-1'
# 	Active Channel:    '500'
# Band Information (Extended):
# 	Radio Interface:   'lte'
# 	Active Band Class: 'eutran-1'
# 	Active Channel:    '500'
# [qrtr://0] Successfully got serving system:
# 	Registration state: 'registered'
# 	CS: 'attached'
# 	PS: 'attached'
# 	Selected network: '3gpp'
# 	Radio interfaces: '1'
# 		[0]: 'lte'
# 	Roaming status: 'off'
# xo-series master=MPSS window=600s tick=19200000 sampled at 1 Hz
# kernel=#80-fp3 SMP PREEMPT Sat Aug 29 08:52:09 UTC 2026
# t_s  awake_ms  xo_off_ms  dt_s  xo_shutdowns
1.0 1020.0 0.0 1.020 3
2.0 1020.0 0.0 1.020 3
3.1 1030.0 0.0 1.030 3
4.1 1020.0 0.0 1.020 3
5.1 1020.0 0.0 1.020 3
6.1 1020.0 0.0 1.020 1
7.1 1020.0 0.0 1.020 3
8.2 1030.0 0.0 1.030 4
9.2 1010.0 0.0 1.010 3
10.2 1020.0 0.0 1.020 4
11.2 1030.0 0.0 1.030 0
12.3 1030.0 0.0 1.030 3
13.3 1020.0 0.0 1.020 3
14.3 1030.0 0.0 1.030 4
15.3 1020.0 0.0 1.020 3
16.4 1030.0 0.0 1.030 1
17.4 1030.0 0.0 1.030 1
18.4 1020.0 0.0 1.020 3
19.4 1020.0 0.0 1.020 3
20.5 1020.0 0.0 1.020 3
21.5 1030.0 0.0 1.030 2
22.5 1030.0 0.0 1.030 3
23.5 1020.0 0.0 1.020 3
24.6 1030.0 0.0 1.030 3
25.6 1020.0 0.0 1.020 4
26.6 1020.0 0.0 1.020 2
27.6 1030.0 0.0 1.030 2
28.7 1020.0 0.0 1.020 3
29.7 1030.0 0.0 1.030 3
30.7 1020.0 0.0 1.020 3
31.7 1020.0 0.0 1.020 3
32.8 1030.0 0.0 1.030 1
33.8 1020.0 0.0 1.020 3
34.8 1030.0 0.0 1.030 4
35.8 1020.0 0.0 1.020 4
36.8 1020.0 0.0 1.020 3
37.9 1030.0 0.0 1.030 1
38.9 1030.0 0.0 1.030 3
39.9 1020.0 0.0 1.020 3
