# xo-series master=MPSS window=600s tick=19200000 sampled at 1 Hz
# kernel=#80-fp3 SMP PREEMPT Sat Aug 29 08:52:09 UTC 2026
# t_s  awake_ms  xo_off_ms  dt_s  xo_shutdowns  state
# ☠️ state=down with awake_ms=1000 means the master was ASLEEP THE WHOLE SECOND
#    and the edge-updated counter simply did not advance - NOT 100% awake.
1.0 236.1 793.9 1.030 3 up+cores
2.1 449.1 580.9 1.030 3 up+cores
3.1 434.6 595.4 1.030 4 up
4.1 841.7 198.3 1.040 0 up+cores
5.2 492.5 537.5 1.030 4 up
6.2 418.1 621.9 1.040 3 up
7.2 179.6 850.4 1.030 3 up+cores
8.3 390.2 639.8 1.030 4 up
9.3 840.7 199.3 1.040 0 up+cores
10.3 563.1 466.9 1.030 4 up
11.4 241.3 798.7 1.040 4 up+cores
12.4 439.1 580.9 1.020 3 up+cores
13.4 447.8 592.2 1.040 4 up
14.5 633.3 396.7 1.030 1 up+cores
15.5 600.4 429.6 1.030 3 up+cores
16.5 445.0 595.0 1.040 3 up+cores
17.6 440.5 589.5 1.030 4 up
18.6 445.0 595.0 1.040 3 up
19.6 449.0 581.0 1.030 2 up+cores
20.7 833.0 197.0 1.030 1 up+cores
21.7 459.0 581.0 1.040 4 up
22.7 633.2 396.8 1.030 1 up+cores
23.8 639.9 390.1 1.030 3 up
24.8 193.5 836.5 1.030 3 up+cores
25.8 986.5 53.5 1.040 1 up+cores
26.9 779.7 250.3 1.030 3 up
27.9 401.6 638.4 1.040 2 up+cores
28.9 1030.0 0.0 1.030 0 up+cores
30.0 445.8 594.2 1.040 3 up+cores
31.0 847.9 182.1 1.030 1 up+cores
32.0 564.4 465.6 1.030 4 up
33.1 249.5 790.5 1.040 3 up
34.1 438.0 592.0 1.030 3 up+cores
35.1 458.8 581.2 1.040 4 up
36.2 643.3 396.7 1.040 1 up+cores
37.2 802.0 228.0 1.030 3 up
38.2 449.2 580.8 1.030 2 up+cores
39.3 643.3 396.7 1.040 2 up
40.3 460.7 569.3 1.030 5 up
41.3 438.0 592.0 1.030 2 up+cores
42.4 768.9 261.1 1.030 2 up+cores
43.4 425.1 594.9 1.020 3 up+cores
44.4 435.0 595.0 1.030 4 up
45.5 465.9 574.1 1.040 3 up
46.5 447.8 592.2 1.040 3 up
47.5 778.5 241.5 1.020 1 up+cores
48.6 643.7 396.3 1.040 2 up+cores
49.6 633.4 396.6 1.030 3 up
50.6 435.0 595.0 1.030 3 up
51.7 205.4 824.6 1.030 3 up+cores
52.7 830.4 209.6 1.040 1 up+cores
53.7 576.0 464.0 1.040 5 up
54.8 449.1 580.9 1.030 3 up
55.8 250.1 789.9 1.040 3 up+cores
56.8 438.1 591.9 1.030 3 up+cores
57.9 657.4 382.6 1.040 2 up+cores
58.9 1030.0 0.0 1.030 0 up+cores
59.9 644.8 395.2 1.040 3 up
61.0 236.3 793.7 1.030 3 up+cores
62.0 458.9 581.1 1.040 4 up
63.0 438.1 591.9 1.030 2 up+cores
64.1 970.8 59.2 1.030 2 up
65.1 241.8 788.2 1.030 3 up+cores
66.1 434.7 595.3 1.030 3 up+cores
67.2 437.8 592.2 1.030 4 up
68.2 435.1 594.9 1.030 3 up
69.2 829.5 210.5 1.040 0 up+cores
70.3 833.8 196.2 1.030 1 up+cores
71.3 429.2 600.8 1.030 4 up
72.3 408.8 631.2 1.040 3 up
73.4 401.4 628.6 1.030 3 up
74.4 728.1 311.9 1.040 1 up+cores
75.4 430.5 599.5 1.030 3 up+cores
76.5 428.8 601.2 1.030 4 up
77.5 446.2 583.8 1.030 3 up
78.5 429.2 600.8 1.030 3 up
79.6 642.5 397.5 1.040 1 up+cores
80.6 577.3 442.7 1.020 4 up
81.6 456.2 583.8 1.040 3 up
82.7 433.0 597.0 1.030 3 up
83.7 228.8 801.2 1.030 3 up+cores
84.7 639.5 400.5 1.040 2 up+cores
85.8 772.0 258.0 1.030 3 up
86.8 419.2 600.8 1.020 3 up
87.8 384.0 646.0 1.030 3 up
88.8 185.4 844.6 1.030 3 up+cores
89.9 384.6 645.4 1.030 3 up+cores
90.9 947.8 92.2 1.040 2 up
91.9 428.6 601.4 1.030 3 up
93.0 238.4 801.6 1.040 3 up+cores
94.0 429.3 600.7 1.030 3 up+cores
95.0 445.9 584.1 1.030 4 up
96.1 849.7 200.3 1.050 0 up+cores
97.1 391.2 638.8 1.030 4 up+cores
98.1 446.0 584.0 1.030 3 up+cores
99.2 439.1 600.9 1.040 4 up
100.2 429.1 600.9 1.030 3 up
101.2 629.2 400.8 1.030 1 up+cores
102.3 648.9 381.1 1.030 2 up+cores
103.3 446.3 583.7 1.030 4 up
104.3 299.5 740.5 1.040 3 up+cores
105.4 551.0 479.0 1.030 4 up
106.4 429.2 600.8 1.030 2 up+cores
107.4 767.7 272.3 1.040 2 up+cores
108.5 438.8 601.2 1.040 4 up
109.5 429.2 600.8 1.030 3 up
110.5 238.9 801.1 1.040 3 up+cores
111.6 449.4 580.6 1.030 3 up+cores
112.6 1030.0 0.0 1.030 1 up
113.7 440.6 599.4 1.040 3 up
114.7 445.2 584.8 1.030 3 up
115.7 241.9 798.1 1.040 3 up+cores
116.8 446.6 583.4 1.030 4 up
117.8 839.8 200.2 1.040 0 up+cores
118.8 630.8 399.2 1.030 3 up
119.8 228.5 801.5 1.030 3 up+cores
120.9 459.2 580.8 1.040 3 up+cores
121.9 451.5 588.5 1.040 5 up
122.9 619.5 400.5 1.020 1 up+cores
124.0 582.6 457.4 1.040 3 up+cores
125.0 439.1 600.9 1.040 3 up+cores
126.1 442.1 597.9 1.040 4 up
127.1 446.2 583.8 1.030 3 up
128.1 431.9 598.1 1.030 2 up+cores
129.2 766.1 263.9 1.030 2 up+cores
130.2 446.9 583.1 1.030 4 up
131.2 432.2 597.8 1.030 3 up
132.2 407.4 612.6 1.020 3 up
133.3 181.5 858.5 1.040 3 up+cores
134.3 942.6 87.4 1.030 1 up+cores
135.3 395.1 644.9 1.040 4 up
136.4 385.4 644.6 1.030 3 up
137.4 415.4 624.6 1.040 3 up
138.5 180.9 859.1 1.040 3 up+cores
139.5 817.9 212.1 1.030 1 up+cores
140.5 570.3 469.7 1.040 4 up
