== ut-callwatch2 start 2026-09-05 07:13:54  (900s)
== card:    iccid=...6542 mcc=216 mnc=70
== network: name= mcc= mnc=
== ims:     Registered=true VoiceCapable=true SmsCapable=true
== rat pref: nr   imsradio netdevs: 0
07:13:54 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:13:55 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:13:56 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:13:58 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:13:59 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:00 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:01 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:02 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:03 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:04 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:06 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:07 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:08 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:09 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:10 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:11 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:12 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:14 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:15 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:16 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:17 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:18 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:19 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:21 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:22 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:23 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:24 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:25 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:26 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:27 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:29 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:30 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:31 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:32 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:33 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:34 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:35 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:37 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:38 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:39 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:40 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:41 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:42 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:43 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:45 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:46 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:47 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:48 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:49 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:50 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:52 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:53 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:54 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:55 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:56 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:57 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:14:58 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:00 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:01 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:02 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:03 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:04 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:05 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:06 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:08 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:09 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:10 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:11 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:12 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:13 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:14 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:16 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:17 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:18 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:19 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:20 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:21 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
