== ut-callwatch2 start 2026-09-05 10:23:35  (900s)
== card:    iccid=...6542 mcc=216 mnc=70
== network: name=One HU mcc=216 mnc=70
== ims:     Registered=true VoiceCapable=true SmsCapable=true
== rat pref: lte   imsradio netdevs: 0
10:23:35 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:23:36 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:23:37 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:23:38 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:23:39 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:23:41 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:23:42 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:23:43 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:23:44 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:23:45 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:23:46 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:23:48 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:23:49 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:23:50 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:23:51 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:23:52 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:23:53 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:23:54 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:23:56 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:23:57 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:23:58 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:23:59 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:24:00 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:24:01 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:24:03 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:24:04 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:24:05 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:24:06 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:24:07 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:24:08 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:24:09 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:24:11 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
