== ut-callwatch2 start 2026-09-05 04:58:30  (900s)
== card:    iccid=<iccid-new-card> imsi=<imsi-new-card> mcc=216 mnc=70
== network: name=One HU mcc=216 mnc=70
== ims:     Registered=true VoiceCapable=true SmsCapable=true
== rat pref: nr   imsradio netdevs: 0
04:58:31 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:58:32 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:58:33 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:58:34 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:58:35 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:58:36 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:58:37 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:58:38 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:58:40 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:58:41 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:58:42 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:58:43 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:58:44 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:58:45 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:58:47 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:58:48 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:58:49 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:58:50 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:58:51 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:58:52 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=incoming,
04:58:53 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=incoming,
04:58:55 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=incoming,
04:58:56 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=incoming,
04:58:57 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:58:58 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:58:59 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:59:01 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:59:02 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:59:03 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:59:04 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:59:05 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:59:06 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:59:07 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:59:09 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:59:10 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:59:11 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:59:12 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:59:13 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:59:14 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:59:15 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:59:17 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:59:18 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:59:19 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:59:20 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:59:21 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:59:22 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:59:23 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:59:25 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:59:26 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:59:27 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:59:28 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:59:29 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:59:30 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:59:31 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:59:33 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:59:34 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
04:59:35 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
