== ut-callwatch2 start 2026-09-05 05:14:20  (600s)
== card:    iccid=<iccid-new-card> imsi=<imsi-new-card> mcc=216 mnc=70
== network: name=One HU mcc=216 mnc=70
== ims:     Registered=true VoiceCapable=true SmsCapable=true
== rat pref: nr   imsradio netdevs: 0
05:14:20 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:14:21 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:14:22 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:14:24 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:14:25 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:14:26 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:14:27 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:14:28 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:14:29 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:14:31 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:14:32 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:14:33 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:14:34 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:14:35 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:14:36 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:14:37 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:14:39 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:14:40 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:14:41 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:14:42 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:14:43 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:14:44 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:14:46 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:14:47 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:14:48 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:14:49 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:14:50 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:14:51 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:14:52 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:14:54 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:14:55 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:14:56 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:14:57 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:14:58 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:14:59 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:00 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:02 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:03 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:04 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:05 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:06 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:07 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:09 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:10 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:11 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:12 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:13 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:14 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:15 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:17 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:18 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:19 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:20 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:21 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:22 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:23 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:25 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:26 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:27 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:28 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:29 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:30 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:31 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:33 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:34 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:35 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:36 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:37 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:38 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:40 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:41 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:42 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:43 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:44 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:45 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:46 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:48 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:49 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:50 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:51 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
