== ut-callwatch2 start 2026-09-05 06:28:41  (600s)
== card:    iccid=...3899 mcc=216 mnc=70
== network: name=One HU mcc=216 mnc=70
== ims:     Registered=true VoiceCapable=true SmsCapable=true
== rat pref: nr   imsradio netdevs: 0
06:28:41 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:28:42 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:28:44 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:28:45 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:28:46 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:28:47 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:28:48 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:28:50 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:28:51 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:28:52 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:28:53 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:28:54 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:28:56 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:28:57 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:28:58 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:28:59 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:00 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:01 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:03 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:04 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:05 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:06 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:07 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:09 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:10 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:11 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:12 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:13 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:14 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:16 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:17 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:18 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:19 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:20 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:21 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:23 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:24 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:25 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:26 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:27 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:28 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:29 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:31 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:32 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:33 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:34 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:35 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:37 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:38 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:39 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:40 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:41 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:42 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:43 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:45 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:46 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:47 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:48 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:49 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:29:50 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=dialing,
06:29:52 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=dialing,
06:29:53 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=dialing,
06:29:54 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=dialing,
06:29:55 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
06:29:56 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
