== gap logger start 2026-09-06 06:04:26  (v4: presses counted; EVERY gap >= 100 ms, down= annotated, never filtered)
06:04:40.573  PRESS   #1
06:04:40.613  RELEASE #1  held 41 ms
06:05:00.828  PRESS   #2
06:05:00.920  RELEASE #2  held 91 ms
06:05:01.009  PRESS   #3
06:05:01.076  RELEASE #3  held 67 ms
06:05:01.158  PRESS   #4
06:05:01.225  RELEASE #4  held 66 ms
06:05:01.318  PRESS   #5
06:05:01.408  RELEASE #5  held 89 ms
06:05:01.485  PRESS   #6
06:05:01.574  RELEASE #6  held 90 ms
06:05:01.667  PRESS   #7
06:05:01.734  RELEASE #7  held 67 ms
06:05:01.807  PRESS   #8
06:05:01.900  RELEASE #8  held 93 ms
06:05:02.000  PRESS   #9
06:05:02.099  RELEASE #9  held 100 ms
06:05:02.217  PRESS   #10
06:05:02.283  RELEASE #10  held 66 ms
06:05:02.365  PRESS   #11
06:05:02.455  RELEASE #11  held 89 ms
06:05:02.531  PRESS   #12
06:05:02.632  RELEASE #12  held 101 ms
06:05:02.705  PRESS   #13
06:05:02.805  RELEASE #13  held 100 ms
06:05:02.838  PRESS   #14
06:05:02.938  RELEASE #14  held 100 ms
06:05:03.031  PRESS   #15
06:05:03.137  RELEASE #15  held 107 ms
06:05:03.247  PRESS   #16
06:05:03.297  RELEASE #16  held 49 ms
06:05:03.430  PRESS   #17
06:05:03.481  RELEASE #17  held 51 ms
06:05:03.580  PRESS   #18
06:05:03.663  RELEASE #18  held 83 ms
06:05:03.903  PRESS   #19
06:05:03.978  RELEASE #19  held 76 ms
06:05:05.086  PRESS   #20
06:05:05.158  RELEASE #20  held 73 ms
06:05:05.266  PRESS   #21
06:05:05.326  RELEASE #21  held 60 ms
06:05:05.432  PRESS   #22
06:05:05.493  RELEASE #22  held 61 ms
06:05:05.641  PRESS   #23
06:05:05.731  RELEASE #23  held 90 ms
06:05:05.925  PRESS   #24
06:05:06.024  RELEASE #24  held 100 ms
06:05:06.293  PRESS   #25
06:05:06.414  RELEASE #25  held 122 ms
06:05:06.722  PRESS   #26
06:05:06.805  RELEASE #26  held 83 ms
06:05:06.913  PRESS   #27
06:05:06.996  RELEASE #27  held 83 ms
06:05:07.079  PRESS   #28
06:05:07.155  RELEASE #28  held 77 ms
06:05:07.229  PRESS   #29
06:05:07.321  RELEASE #29  held 93 ms
06:05:07.405  PRESS   #30
06:05:07.478  RELEASE #30  held 74 ms
06:05:07.571  PRESS   #31
06:05:07.654  RELEASE #31  held 82 ms
06:05:07.744  PRESS   #32
06:05:07.794  RELEASE #32  held 50 ms
06:05:07.894  PRESS   #33
06:05:07.977  RELEASE #33  held 83 ms
06:05:08.144  PRESS   #34
06:05:08.259  RELEASE #34  held 116 ms
06:05:08.353  PRESS   #35
06:05:08.436  RELEASE #35  held 83 ms
06:05:08.536  PRESS   #36
06:05:08.593  RELEASE #36  held 57 ms
06:05:08.702  PRESS   #37
06:05:08.785  RELEASE #37  held 84 ms
06:05:08.858  PRESS   #38
06:05:08.968  RELEASE #38  held 110 ms
06:05:09.034  PRESS   #39
06:05:09.135  RELEASE #39  held 100 ms
06:05:09.201  PRESS   #40
06:05:09.291  RELEASE #40  held 90 ms
06:05:09.367  PRESS   #41
06:05:09.451  RELEASE #41  held 83 ms
06:05:09.790  PRESS   #42
06:05:09.882  RELEASE #42  held 92 ms
06:05:09.989  PRESS   #43
06:05:10.072  RELEASE #43  held 84 ms
06:05:10.215  PRESS   #44
06:05:10.315  RELEASE #44  held 100 ms
06:05:10.405  PRESS   #45
06:05:10.489  RELEASE #45  held 84 ms
06:05:10.565  PRESS   #46
06:05:10.665  RELEASE #46  held 100 ms
06:05:10.748  PRESS   #47
06:05:10.838  RELEASE #47  held 90 ms
06:05:10.937  PRESS   #48
06:05:11.037  RELEASE #48  held 100 ms
06:05:11.113  PRESS   #49
06:05:11.220  RELEASE #49  held 107 ms
06:05:11.279  PRESS   #50
06:05:11.386  RELEASE #50  held 107 ms
06:05:11.429  PRESS   #51
06:05:11.553  RELEASE #51  held 123 ms
06:05:11.719  PRESS   #52
06:05:11.812  RELEASE #52  held 93 ms
06:05:11.912  PRESS   #53
06:05:11.995  RELEASE #53  held 83 ms
06:05:12.069  PRESS   #54
