10:35:25.096  heartbeat: frames=1655 presses=227 irqs=2839 gaps>=100ms=1 down=False
10:35:25.094  PRESS   #228
10:35:25.193  RELEASE #228  held 100 ms
10:35:25.286  PRESS   #229
10:35:25.342  RELEASE #229  held 57 ms
10:35:25.409  PRESS   #230
10:35:25.476  RELEASE #230  held 67 ms
10:35:25.536  PRESS   #231
10:35:25.609  RELEASE #231  held 72 ms
10:35:25.693  PRESS   #232
10:35:25.769  RELEASE #232  held 76 ms
10:35:25.852  PRESS   #233
10:35:25.935  RELEASE #233  held 83 ms
10:35:25.992  PRESS   #234
10:35:26.068  RELEASE #234  held 76 ms
10:35:26.135  PRESS   #235
10:35:26.242  RELEASE #235  held 107 ms
10:35:26.268  PRESS   #236
10:35:26.375  RELEASE #236  held 107 ms
10:35:26.584  PRESS   #237
10:35:26.667  RELEASE #237  held 83 ms
10:35:28.626  PRESS   #238
10:35:28.730  RELEASE #238  held 104 ms
10:35:29.491  PRESS   #239
10:35:29.590  RELEASE #239  held 99 ms
10:35:29.746  PRESS   #240
10:35:29.840  RELEASE #240  held 94 ms
